Question,GPT-4o_Answer,Actual_Answer,Score
"Kini òrò Yorùbá yìí túnmọ̀ sí ""Alàdìí fonórù""?",Àlàìnífẹ̀ẹ́ tàbí aláìlóore.,Ilé ti to lo (time to go home),0
Kíni à ń pè ní 'àmù' ní ilé Yorùbá?,À ń pè 'àmù' ní ilẹ̀ Yorùbá ní 'amí'.,Ikoko ti won maa n bu omi si,0
Ṣàlàyé ọ̀rọ̀ yìí 'ìsákọ̀lè',"Ìsákọ̀lè túmọ̀ sí èyí tí a máa ń fi sàn wọ́n láti jogún ilé tàbí ilẹ̀ kan, tàbí ìsanwó tó yẹ ká ṣe kí wọ́n lè fi ilé tàbí ilẹ̀ fún ẹni.",Owó tàbí ẹ̀bùn tí ènìyàn máa n fún ní bíi ọ̀pẹ̀,0
"Parí òwe yìí
 Ẹni tí ń walẹ̀ ní ń sínkú....",Ẹni tó ku ilé.,"Ẹni ń súkùn, ariwo lasan ni ń pa.",0
"Kini itumo oro yoruba yii
 Omi gbigbona kìí jólé",Itumo re ni pe nkan ti o ni agbara tabi pataki ko ye ki oje e lafaimo.,"Kòsí bíi nkan bà ṣe lè tó, ó ń bò wá dérò.",0
"Parí òwe Yorùbá yìí ""Ọhun tí ń wuni ni n pò lóro ènìyàn",Ọhun tí ń wuni ni n pò lóro ènìyàn ọmọ e fún.,"Ológun ẹrú kú, aṣọ è jẹ́ ìkan",0
"Kíni ìyàtọ̀ láàrin ""ìlábùrù àti abilà""?","Ìlábùrù jẹ́ ìṣe ibi tàbí òdì, nígbà tí abilà jẹ́ ẹ̀dá tàbí ẹ̀dá aṣíṣe.","Ìlábùrú - Baboon
Àbìlà  - Zebra ",0
"Tí 'fast' ba jẹ́ yàrà
 Kíni ọ̀rọ̀ Yorùbá fún 'slow'?",Díẹ̀ díẹ̀.,Yíyọ́ (yọ́),0
"Lo àwọn ọ̀rọ̀ márùn ún yi nínu gbólóhùn kan
 “dárayá, faraya, kíyèésárà, fáramó, fáramó”","Mo fáramó àwọn ìbéèrè, mo sì kà á kíyèésárà; mo faraaya àti dárayá láti jẹ́ aláboyún nínú ètò Masoyinbo náà.","Mo lọ sí eré ìdaŕayá kan, níbití ẹni tó gbàwá lálejò ti faraya, nítorí kò kíyèsara tí ohun tó ṣelè sì ṣeé faramọ́",0
"Parí òwe Yorùbá yìí
 ""apàtẹ̀wọ́ fún wèrè jó.........""",....yóò fọ̀ ọwọ́ ẹni.,òhun àti wèrè ìkan ni wọ́n,0
"Parí òwe Yorùbá yìí
 ""A kìn pa òdu òyà loju òtá ènìyàn ....""","""A kìí ṣòrò abínú ṣí ìlù èsè.""",ọmọ elébọ́rọ́ lásán lapa,0
"Parí òrọ Yorùbá yìí
 ""Nítorí afójú ní òjò ṣe n kú, nítorí adití ní òjò ṣe n ṣe kíni?","Nígbàtí afójú bá n kú, nígbà èmi adití ni òjò ń dé.",Ṣú,0
Kíni Yorùbá n pè ní 'òbèlè'?,Àní 'òbèlè' ni banana ní èdè Yorùbá.,Ọkọ̀ ojú omi (Canoe),0
Kíni òrò Yorùbá fún ẹranko yìí 'potto'?,Òrò Yorùbá fún 'potto' ni àpara.,Ikì,0
"""Irú ọmọ wo ni Yorùbá n sọ ní 'Ojúólápé'?""","""Omírin"" tabi ""omó pupa.""",Àbígbẹ̀yìn ọmọ,0
"Ìdúró ò sí, ìbèrè ò sí f’ẹni tó gbódó mì.
 Irú ènìyàn wo ni a lè pè ní a gbódó mì?",A gbódó mì ni ẹni tó nípàtàkì tó jùlọ tàbí ẹni tó jẹ́ alágbára nípa títọ́jú tàbí rí sí àwọn nnkan kan.,Ẹni tó wà nínú wàhálà,0
"Tí Yorùbá bá sọpé kò sí àbùjá lóòrùn ọpẹ, kíni àbùjá?",Àbùjá jẹ́ ẹ̀ka (orí) nínú ọ̀pẹ.,Ọ̀nà èbùrú,0
What's the Yorùbá word for 'Eagle'?,Àdàbà or Òkìn.,Idì,0
"Parí òwe yìí 
 ""Didùn ló dùn tí a fi bá òré jèkò......",ma rárá má jẹ àṣéwó.,ti ilé oge tógeé jẹ,0
Kíni ọ̀rọ̀ Yorùbá fún 'Bribe'?,Èké.,"Rìbá, Owó ẹ̀yìn, Ṣọwọ́ kúdúrú, Ẹ̀gúnjẹ",0
Irú òunje wo ni Yorùbá n pè ní 'ọ̀jọ̀jọ̀' kíní òun pàtó tí wọn fi n ṣe?,Ọ̀jọ̀jọ̀ jẹ òunje tí a ń ṣe pèlú èso èlùbọ̀ (yam tuber) tí a fìdí ró pọ̀ pèlú atalẹ̀ láti din.,"Oúnjẹ ilẹ̀ Yorùbá, Isu ewura ni a fi n se",0
"Parí òwe Yorùbá yìí
 'Ẹmó kù ojú ọpò dí ....'",...lóró.,"bí àfẹ̀rẹ̀bòjò bá kú, ẹnu isà á ṣòfo",0
Kíni àwọn Yorùbá n pè ní “kolokóló”?,"Àwọn Yorùbá máa ń pè àjà mìíràn ní ""kolokóló.""",Ohun tí a máa ń fi sí ọrùn ajá bíi ṣaworo,0
Yorùbá bò wọ́n ní 'lálá tó ròkè ìlè lón bò' kíní 'lala'?,'Lálá' túmọ̀ sí ẹẹ̀kan tàbí sísẹ̀ kọjá àlá loju ènìyàn lórí ṣáájú kí ó tóò ṣe.,Ilá,0
Kíni ọ̀rọ̀ Yorùbá fún 'Guinea-worm'?,Òkéèlé.,Sòbìyà,0
Kíni ọ̀rọ̀ Yorùbá fún 'Lungs'?,Ohun ìmí.,Fùkù,0
Àwọn wo ní Yorùbá ń pè ní 'adídàgìrì'?,"Adídàgìrì ni a máa ń pè àwọn ènìyàn tí ó yàtọ̀, tí ó dàgbà láti jẹ ogbógi tàbí ìrúdàtí.",Alarmist,0
Kíni àkólé orúkọ ọba ìlú Ọndó?,Ọba Àkúrẹ.,Òṣemàwé,0
"Òwe Yorùbá kan ní Ijapa wọnú orù, ó ku àtiyọ 
 Kíni Yorùbá n pè ní 'orù'?",Orù ni a pèsè àrán.,Ìkòkò,0
"Kíni Yorùbá n pè èranko yìí ""Skink""?","Yorùbá ń pè èrànkó ""Skink"" ní ""Èyìnrìn-ńlá"".",Aláyùnbẹ́rẹ́,0
Kíni Yorùbá n pè ní 'ìrèmòjé'?,Ìrèmòjé ní Yorùbá túmò̀ sí àṣà ìsìnkú àti orin ìyàwó fún ẹ̀yà Okùnrìn Ẹgbá.,Orin tí a máa fi ń dárò ọdẹ,0
"Lo àwọn ọ̀rọ̀ márùn yìí nínu gbólóhùn kan
 ""Fiséyìn, fiséyìn, fèýinti, èyìnodi, owó èyin.""","Mo ra owó èyìn, mo ṣe èyìnodi, nítorí náà mo fèýinti ni fiséyìn.",,0
"Parí òwe Yorùbá yìí
 ""mà fi oko mi dà ònà.......""","""má fi oko mi dá’na ilèkè.""",Ọjọ́ kan là á ko,0
"Kíni òrò yorùbá fún ""Century""?",Òkòólè.,Ọrúndún,0
"Kini ìtumò òrò Yorùbá yìí ""isọgbè""?","Ìtumò òrò ""isọgbè"" ni ""kitchen"" ní èdè Gẹẹsi.",Aláàbárìn,0
"Parí òwe Yorùbá yìí
 ""Bi owó eku bá ṣe mó ..... """,ìka ọwọ̀ rẹ̀.,ló ṣe máa fi họra,0
Kíni òrọ yorùbá fún 'Bomb'?,Ìfôńpá.,Àdó-olóró,0
"Tí àkùkò bá jẹ́ 'cock' tí àdìyẹ jẹ́ 'chicken', kíni 'chick' Ní Yorùbá?",Adíké.,Òròmadìye,0
"Parí òwe yìí: 
 'Àgbàtán là ń gba òlé, bí a dáso fún òlé à pa láro...'",Kò bá mo rẹ̀ mú.,"Bí a bá la ọ̀le níjà, àá sín délé",0
"Parí òwe yìí:
 'àgbà tó fi arúgbó ara kó ìlù....'",kí ìlù fi ara gbóò.,Omele ni wọ́n máa ń sán kú,0
"Kíni òrò Yorùbá fún ""pilfering""?",Èké.,Àfọ́wọ́rá/Fẹ́wọ́,0
"Kíni Yorùbá n pè èranko yìí ""tree hyrax""?",Àkàn.,Ọ̀fàfà,0
Kíni Yorùbá pè ní èbìrìpò?,Èbìrìpò.,Oúnje ilẹ̀ Yorùbá,0
"Parí òwe yìí
 ""Dátóró dàtòrò dátóró""","""Dátóró l'owó lè tó nígboro.""","Àgbà tí ò bá dátọ́rọ́, omi ọbè láá mu",0
"Parí òwe yìí
 ""akíì Fura sí ẹni à ń bá rìn""","""Ìgbà tí à ń báa jọ jín.""",ẹni a fura sí ló gba ká yẹra,0
"Kíni Yorùbá n pè
 ""animal shell""?",Eyin eranko,Ìkarahun,0
Àwọn wo ni Yorùbá ń pè ní Agbefọba,Yorùbá ń pè Onídàájọ̀ tàbí Àdájọ́ ní Agbefọba.,Agbófinró,0
"Parí òwe yìí.""
 ""àìsàn là ń wò......",èègùn là ń wògbọ́n.,ẹnìkan ò rí tọlọ́jọ́ ṣe,0
Parí òwe yìí 'ẹjọ́ a fẹnì lóbinrin là ńwí...',ọkàn ògá lóde.,A kìí wíjọ́ afẹ́nilọ́mọ,0
Kíni ìtumò òrò Yorùbá yìí: 'Èkó èlèkò ní ègbà èlégbà?',"Gẹ́gẹ́ bí òwe, ó ní kí ẹni tó bá ń kóni kó dabi ẹni pé ó máa ń gbé ôjù ti àwọn tó ń kórò. 'Èkó èlèkò' nfi àpẹẹrẹ èkó tí àfi ìṣe hàn, nígbàtí 'ègbà èlégbà' nfi àgbájọ àwọn tó ń gbé ayé lọ́nà àgbèlègbè dènà.","Ǹkan tí ìwọ bá kọ́, ẹlòmíràn lè gbàá",0
Parí òwe yìí 'ti aáyán bá sí ìjọ́ jó...','...ojú kan ní í mí.',Ó máa farakásá adìyẹ,0
Tí Yorùbá bá fi ènìyàn wé 'eye Ìbáká' irú ènìyàn wo ni ènìyàn náà jẹ?,Enìyàn náà jẹ ẹnikẹ́ni tó dára púpọ lórí ẹwà tàbí ẹ̀wà ló ga jùlọ.,Elẹ́jọ́wẹ́wẹ́,0
"Atulé má dè yìn, ní túlé kan aáyán funfun.
 Kí ni Yorùbá n pè ní ""aáyán funfun""?","Yorùbá n pè ní ""aáyán funfun"" ní ""ibora aṣọ.""",Òku ẹ̣̀nìyàn,0
Kíni 'music album' ni Yoruba?,Ilé èdè orin.,Àwo orin,0
"Pari Òwe yìí: Akòtàgìrì ẹjọ, àgbà tí ó rí ẹjọ tí kò sá,..........",àìkú làá pa á.,Ara ikù ló ń ya,0
"Kíni Yorùbá n pè ní ""Fence""?",Àgángún.,Odi,0
Iru Àwọn wo ni a ma n pè tàbí sọ ní 'máàlà olú'?,"Máàlà olú ni a pè fún ẹran tí ó lọ́nà díẹ, kò tóbi, kò sì kéré, tí ó sì tọ̀ gbígbàmú bí bata.",Àwọn Ọlọ́bàtálá,0
"Igbó ọ̀rà jẹ́ ìlú tí wọ́n ti ń bí ìbejì jùlọ ní gbogbo àgbáyé
 'kíni àkòrí orúkọ ọba ìlú igbó ọ̀rà'","Àkòrí orúkọ ọba ìlú Igbó Ọ̀rà ni ""Ọba Olúdàlé Olápáde Agúnbíàde.""",Olú,0
Kíni àkólé ọba ìlú Ìbàdàn?,Àkólé ọba ìlú Ìbàdàn ni Òlúbàdàn.,Olúbàdàn ti ìlú Ìbàdàn,0
Tani Yorùbá gbàgbó pé ó jẹ̀ bàbá Yorùbá?,Odùduwà ni Yorùbá gbàgbó pé ó jẹ̀ bàbá wọn.,Odùduwà,0
Fi àmín sí orọ̀ yìí “Aimoore”,"Aimoore ni a fi n sọrọ nipa aiṣedani, aibikitan tabi ailagbara lati dupẹ tabi lati mọ anfaani rere ni irúu kan tabi omiran gba.",Àìmoore,0
"Kíni ""Airport"" ní Yorùbá?",Ibudo ọkọ ofurufu.,Pápákò òfurufú,0
"Kíni ""Air Conditioner"" ní Yorùbá?",Onínúmú Òtútù.,Ẹ̀rọ Amúlétutù,0
"Kíni ""Turkey"" ní Yorùbá?",Tìkì.,Tòlótòló,0
"Kíni ""Chameleon"" ní Yorùbá?",Àlémọ́ójò.,Ọ̀gà,0
"Kíni ""Soft Drink"" ní Yorùbá?",Omi mimu eleke.,Ọtí Ẹlẹ́rìndodò,0
"Kíni ""Generator"" ní Yorùbá?","""Ẹrọ amúnawa"" ni.",Ẹ̀ro Amúnáwá,0
"Kíni ""Negotiation"" ní Yorùbá?",Ibèèrè owó.,Ìdúnádúrà,0
"Sàlàyé òwe yì: 
 A kìí fi ẹ̀jẹ̀ sínú kí á tu itọ́ funfun jade.",Òwe yìí jẹ́ ìlànà pé ohun tí a bá fi sínú-ọkàn tàbí ara wa ni yóò padà jáde. Awọn aṣeyọrí tàbí ìnàjú wa máa ń jẹ́ abajade ohun tí a fi sí ara wa.,Ótúmò sí pé ohun tí ènìyàn bá ní sínú ló máa sọ jáde,0
"Sàlàyé òwe yì: 
 ""Nítorí adití ni ojó se ńsú, nítorí afọjú ni ó ṣe ńkù.""
 What are they trying to say?","Òwe yìí ńfi hàn pé iṣẹ́lẹ̀ kan lè má ya àwọn kan lójú tàbí kí wọ́n má gbọ́ ìkìlọ̀, àmọ́ yóò ṣọ̀rọ̀ sí wọn.","Àpẹre wà fún ohun gbogbo, tí ó bá ti gbọ́, o ṣáa máa ri",0
"""Sàlàyé òwe yì: 
 Eni to ba mo idi oran tele ni n bu abuja eke","Òwe yìí túmọ̀ sí pé ẹni tí ó mọ̀ ní ṣíṣe ìwádìí tàbí ìbẹ̀wò tó jinlẹ̀ kàn, lè ṣàrán tàbí sọrọ nípa ohun tó ṣẹlẹ̀ gan-an. Fún apẹẹrẹ, ó lẹ́sẹ̀kẹ́sẹ̀ mọ àwọn ìtàn àtijọ́ àti ìṣẹlẹ̀ nípa ohun tí ó ń ṣe àkóbá. Eni tí kò bá mọ̀ ṣe kì í ṣàrọ̀ nípa àwọn ẹ̀yàn tàbí ohun kàn.",,0
"Pari Òwe yìí: ""Àrùn tí ńṣe Ogójì ní ńṣe Odunrun""","Àrùn tí ńṣe Ogójì ní ńṣe Odunrun, àyé ṣe ni.","Ohun tó bá ṣe Abọ́yadé, gbogbo ọlọ́ya ló ń ṣe",0
"Parí òwe yìí: 
 ""A kìí bọ́ sọ́mí tán...""","""a dá àṣírí.""",Kí á máa kígbe òtútù,0
"Kíni ìtumọ̀ òwe Yorùbá yìí:
 Apàtẹ́wọ̀ fún wèrè jó, ohùn àti wèrè ọ̀gba","Ìtumọ̀ rẹ̀ ni pé: Tí o bá bára wèrè ṣeré, wèrè náà a mú é ọ ká.",Ǹkànkan ni wèrè àti ẹni tí óhún pàtéwọ́ fún wèrè,0
"Kíni ìtumọ̀ òwe Yorùbá yìí:
 A kì í dá ẹrù ikùn pá orí.",Ìtumọ̀ rẹ̀ ni pé a kì í fi àwon ohun tó ń se pàtàkì kéré ṣe nkan tó kọ̀ lágbára.,A kò lè gbé ẹrù ẹlẹ́rù sórí kí á fa tiwa sọ́wọ́,0
"Kíni ìtumọ̀ òwe Yorùbá yìí:
 A kìí du orí olórí káwòdì gbé t’eni lọ.",Ìtumọ̀ ni pé: A kì í ṣàjọṣepọ̀ nípa ìṣénilọ́ná ẹni kò ní fi tara ẹni ṣòfò.,Ti ara ẹni làá kọ́kọ́ jà fún kótódi torí olórí,0
"Kíni ""Thumb"" ní Yorùbá?",Ìka ọwọ̀.,Àtàǹpàkò,0
"Kíni ""Mirror"" ní Yorùbá?",Òjìjì.,Dígí,0
"Kíni ""Sweet Potato"" ní Yorùbá?",Díndìnrìn.,Ànàmọ́,0
"Kíni ""Microphone"" ní Yorùbá?","""Microphone"" ní Yorùbá ńjẹ ""Ẹrọ amunawa.""",Gbohùngbohùn,0
"Kíni ""Glasses"" ní Yorùbá?","""Gòógù"" ni Yorùbá.",Jígí/Ìgò-ojú,0
"Kíni ""Subsidy"" ní Yorùbá?","""Afaniṣowo.""",Owó ìrànwọ́,0
"Kíni ""Law Enforcer"" ní Yorùbá?",Olùfaramọ òfin.,Agbófinró,0
Kíni ìtúmọ̀ Balógun?,Olori ogun tabi olori awọn jagunjagun.,Baba lójú ogun -–Olórí ogun,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Bode pade""","Àkànlò-èdè ""Bode pade"" túmọ̀ sí pé ẹni kan tó kàn un lóráà, iyẹn tí wọn kò nífẹ̀ẹ́ sí bẹ̀rẹ̀ sí nígbọ́nárágà ni agbo oju.",Rírí tajé ṣe,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Ponmi si ajadi apere""","Èdè yìí túmọ̀ sí ""Àṣírí tàbí ẹ̀kúnrẹ́rẹ́ ní abẹ́lẹ̀ àwọn ohùn.""",Ṣíṣe àṣedànù,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Fi enu ko""","Ìtumọ̀ rẹ̀ ni ""speak frankly"" tàbí ""be outspoken.""",Ṣíṣi ọ̀rọ̀ sọ,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Fimu finle""","""Fimu finle"" túmọ̀ sí ""Sunmọ́ra"" tàbí ""Ṣọra dáadáa.""",Ṣíṣe ọfíntótó,0
"Kíni ""Procastination"" ní Yorùbá?",Ìkànsí.,Fènídọ́la,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Juba ehoro""","Àkànlò-èdè ""Juba ehoro"" túmọ̀ sí ‘Ní kíákíá’ tàbí ‘Ní ṣíṣé’.",Sálọ,0
"Kíni ""Eleven thousand"" ní Yorùbá?",Ẹgbẹ̀rún mẹ́tàlá.,Ẹgbẹ̀rún Mọ́kànlá,0
"Parí òwe yìí: Àfọ̀mọ́ ńṣe ara è,...","Àfọ̀mọ́ ńṣe ara è, ojú ẹni ní ńṣe ara è.",Óní òhun ń ṣe igi,0
"Sàlàyé òwe yì: 
 A ń gba ọ̀ròmọ adìyẹ lọ́wọ́ ikú, òní wọn ò jẹ́ kí ohùn re àkìtán lọ jẹ.","Òwe yìí ni wọn ń lò láti fi hàn pé a ń gbà tàbi ṣérànwọ́ ẹnìkan nínú ìṣòro, ṣùgbọ́n ẹni náà kò mọyì tàbí kò mọrírì ìrànwọ́ yẹn, tí ó sì ń ṣe ohun tó lè ṣàmójútó ara rẹ̀ di ìṣòro.",Ọmọdé ò mọ̀ pé àgbàlagbà ń gba òhun lọ́wọ́ ohun tí ó lè pa òhun lára,0
"Sàlàyé òwe yì: 
 Afẹ́fẹ́ ńda ológi láámu; oníyẹ̀fun má ja’fira",Òwe náà túmọ̀ sí pé ẹni tó ń ṣeun tán tí kò nípa ń ṣe afani máa ń báni nija; ẹni tó bá lóòye kò ní ka’ra rẹ̀ sí eri àimọ̀.,"Bí afẹ́fẹ́ bá lè da ògì sọnù, oníyẹ̀fun nílò látìi múra gidigidi",0
Parí òwe yìí: 'A fasẹ̀ gbèjò ...,"... enu.""",Ó ń tan ara rè je,0
"Kíni ""Local Government"" ní Yorùbá?",Ìjọba Ìbílẹ̀.,Ìjọba ìbílẹ̀,0
"Àrìngbèrè ni yó múú oyè délé; asárétété ò róyè jẹ.""
 Kíni ìtúmọ̀ òwe yìí?","Ó túmọ̀ sí pé ìṣaré àti ìmúrákù dára, ṣùgbọ́n ìfaradà àti ìgbẹ́kẹ̀lé ló ń mú èrọ̀ ayé dènà.",Kí á máa sáré jù. Iṣẹ́ kọ́ lowó,0
"Àpà èèyàn ò mọ pé ohùn tó pọ̀ lé tán.""
 Kíni ìtúmọ̀ òwe yìí?",Ó tumọ̀ sí pé àwọn ohun tó dàra tàbí àwọn ẹ̀kúnrẹ́rẹ́ kò dájú pé yóò jẹ́ aláfẹ́fẹ́ tàbí pé gbogbo ènìyàn yóò ní ìfẹ́ rẹ̀.,"Kòsi bí owó ṣe pọ̀ tó, yíò tán lọ́jọ́kan",0
"Jọmíjọmí òkú ọ̀rọ̀ níí sọníí dà
 Kíni ìtúmọ̀ òwe yìí?",A sọ̀rọ̀ díẹ̀ díẹ̀ ni láti fi hàn pé a bójúmu tàbí ní ìmọ̀.,Ìkà ni ẹni tí ó fẹ́ kí gbogbo ènìyàn jọ òhun,0
"Ìwọ̀n ni ẹni tí ó gun ẹlédè ńyọ̀ mọ́; ẹni tí ó gun ẹsin pàápàá ilé ló ń bò.""
 Kíni ìtúmọ̀ òwe yìí?","Ó túmọ̀ sí pé ẹni tó ní alákòóso ń gbéyìn lè kúrò, ṣùgbọ́n ẹni tó máa ń gbé ọ̀ṣọ́ àti ire ló máa ń pada sílé.",Kí a máa ní ìgbéraga,0
"Kíni ""Palm"" ní Yorùbá?","""Ẹgbẹ́"" tàbí ""Ẹyin àpá.""",Atẹlẹwọ́,0
"Kíni ""Ostrich"" ní Yorùbá?",Ímù Aládánì.,Ògòǹgò,0
"Kíni ""Text Message"" ní Yorùbá?",Ìfiránṣẹ́ Àkópọ̀.,Àtẹ̀jíṣé,0
"Kíni ""Video"" ní Yorùbá?",Fídíò.,Fọ́rọ́n,0
"Kíni ""Perform well"" ní Yorùbá?","""Ṣe dáadáa.""",Fakọyọ,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Gbo agboya""?","Kíkan àyíká, ""gbo agboya"" nyànjú ìjìnlè oyè tàbí imọ̀.",Gbọ́ ǹkan lódì,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Gbe ayan mi""?","Àkànlò-èdè ""Gbe ayan mi"" túmọ̀ sí ""Make me proud"" ní èdè Gẹ̀ẹ́sì.",Lóyún,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Eti keta""?","""Eti keta"" túmọ̀ sí ẹni tí ó ní ìmọ̀ lórí ohun tí ó ń lọ tàbí ohun tí ó wáyé, ṣùgbọ́n kì í ṣe ẹni tí ó wọ́nù ìfọ̀rọ̀wánilẹ́nuwò náà tàbí kókó orí rẹ̀.",Ará ìta,0
"Sàlàyé òwe yì:
 Wọ́n ní, ""Afọjú, o ò tanná alẹ́"" ó ní àtọ̀sán àtọ̀ru, èwo lóún rí níbẹ?","Òwe yìí àlopọ̀ ni, èyí tó ń ṣàlàyé pé ẹni tí kò ní ìkànsí ìlà éwọ̀n kò lè mọ inú rè. Afọjú, tí kùlìkùli ò ní toro inú, kò rí nkankan níbẹ̀, bẹ́ẹ̀ náà ló jẹ́ fún àwọn tí kò mọ ohun tí wọ́n ń ṣe tàbí ohun tí wọ́n ń sàtìlẹ́yin ní báyìí.",Kò mọ́pọlọ wá lati sọ fún afọ́jú pé kí ó taná yálà ní àárò tàbí lálẹ́,0
"Sàlàyé òwe yì:
 Àjànàkú kúró l’ẹ́ràn à ń gọ̀ dé","Òwe yìí túmọ̀ sí pé ẹsẹ̀ ńlá ló ṣẹlẹ̀, àwọn nnkan pàtàkì wà tí a kò gbọ́dọ̀ gbàgbé tàbí ṣèwòfà mọ́.",Erin tóbi ju ẹranko tí a máa farapamọ́ fún,0
"Kíni ""Health"" ní Yorùbá?",Ìlera.,Ìlera,0
"Kíni ""Knee"" ní Yorùbá?",Kókun.,Orókún,0
"Kíni ""Plate"" ní Yorùbá?","""Apẹrẹ"" ni Yorùbá.",Abọ́,0
"Kíni ""Earring"" ní Yorùbá?",Ẹ̀wọ̀n lọ́bùn.,Yẹtí,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Oba waja""","""Oba waja"" túmọ̀ sí pé ọba ti kú.",Ọba ti kú,0
"Kíni ""500"" ní Yorùbá?",Ẹ̀ẹ́dẹ́gbẹ̀ta.,Ẹ̀ẹ́dẹ́gbẹ̀ta,0
"Kíni ""Conspiracy"" ní Yorùbá?",Ètàn.,Ọ̀tẹ̀,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Te oju ile mole""","Ìtumọ̀ ""Te oju ile mole"" ni pé ki o farada láìsí ìsúná tàbí dukia ní ilẹ̀ náà.",Ṣe ẹni tí ò ní gbẹ́bẹ̀,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Fara kasa""","""Fara kasa"" túmọ̀ sí láti ní ìfaradà tabi láti ṣèé gbígbé inú ìpònjú tàbí ìṣàárò.",Farapa,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Firufona""","Àkànlò-èdè ""firufona"" túmọ̀ sì ""evergreen"" tàbí ""always fresh.""",Wà nínú wàhálà,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Ko oro je""",Ó túmọ̀ sí pé kó ọ̀rọ̀ jẹ́ kí á lè mọ̀ọ́ gbọ́ ọ.,Fagilé ohun tí a sọ,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Lo se eyo"" (Ease one self)","Àkànlò-èdè ""Lo se eyo"" túmọ̀ sí láti lọ sí ibi ìwé ìgbàgbọ́ tàbí láti lọ túràríra.",Lọ tọ̀,0
Kíni Yorùbá n pè ní 'kùkùté'?,Yorùbá n pè 'kùkùté' ní 'naked wire' tabi 'electric wire'.,Ageku igi,0
Fi àmí sí òrò yìí Oloopa,“Òlòpàá.”,Ọlọ́ọ̀pá,0
"Kíni ""Whirlwind"" ní Yorùbá?","""Whirlwind"" ní Yorùbá jẹ́ ""Ìjì.""",Àjà,0
Parí òwe yìí: 'Àígbọ́fá làá wòkè ...,"... àgbọ́nrin.""",Ifá kan ò sí ní párá,0
Fi àmí sí òrò yìí 'Lataarọ',Látàárọ.,Látàárọ̀,0
Kíni Yorùbá ń pè 'catapult' or 'sling'?,Yorùbá ń pè 'catapult' ní 'gbọngbọn'.,Kànnàkánná,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Na pápá bora""","Àkànlò-èdè ""na pápá bora"" túmọ̀ sí ""ó ti súnmọ́ àfinimọ́lẹ̀"" tàbí ""ó ti padánù àṣírí.""",Sálo,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Ìfétíléko""",Ìfẹ́tílẹ́kọ̀ túmọ̀ sí àmúyẹ̀ tàbí ìtúmọ̀ kan ti ohun kan.,Retí èsì tàbí ìdáhùn làti ibìkan,0
"Kínì ìtumọ̀ àkànlò-èdè yìí? ""Tanilolobo""","""Tanilolobo"" túmọ̀ sí ẹni tí ó ní àṣírí tàbí ìhìn kan.",Sọ̀rọ̀ fún èèyàn ṣáájú ǹkan tó fẹ́ ṣẹlẹ̀,0
"Kíni ""Bear"" ní Yorùbá?",Ìkòkò.,Ọ̀fàfà,0
"Kíni ""Camel"" ní Yorùbá?",Ràkúnmí.,Ràkúnmí,0
"Kíni ""Gorilla"" ní Yorùbá?",Kíyàkíyà.,Ìnàkí,0
"Kíni ""Hippopotamus"" ní Yorùbá?",Erinmi.,Ẹrinmí,0
"Sọ ìtumọ̀ òwe yìí:
 Ènì tó torí òtútù fi ọ̀mòrí odó yáná kò gbọ́dọ̀ retí àti jẹ̀yàn",Ènìyàn tó ṣe nǹkan lọ́nà tó ṣòro tàbí tó ṣeé ṣe kìí retí èsì rere tàbí ànfààní.,"Kí ènìyàn máa ṣe ohun tóyẹ kó ṣe, kí ó sì máa retí èsì",0
"When the elders say:
 Dátóró dátóró dátóró, àgbà tí kò dátóró, omi ọbẹ̀ láámu.
 What does it mean?""","It means that when elders do not have discernment or wisdom, they cause trouble.",Àgbà tí kò ṣe ojúṣe kò ní rí owó tàbí ohun tó tọ si gbà,0
"Parí òwe yìí:
 Ìbínú kò ṣe nkan...",kíkanlẹ̀ nìkan.,Sùúrù ni baba ìwà,0
"Parí òwe yìí:
 ọmọ kò láyòlẹ..",òòkan ní ń bani ló̩kàn.,,0
"Kíni ""Communication"" ní Yorùbá?",Ìbánisọ̀rọ̀.,Ìbáraẹnisọ̀rọ̀,0
Ṣàlàyé Orúkọ yìí: òkánlàwọ́n,"""Òkánlàwọ́n"" túmọ̀ sí ọkan (11) plus mẹ́wàá (10), tó jẹ́ ọgọ́rùn (100) láti ṣàlàyé ọgọ́rùn-ún.",Ọmọ obìnrin tàbí okùnrin tí a bí la àwọn ọmọ tókù ní ìdílé kan,0
