97,"Lò àwọn ọ̀rọ̀ márùn yìí nínú gbólóhùn kan 
 ""patú, panumó, pààrò, pámóra, pa ohun dà""","Arábìnrin náà patú, o sì panumọ́, ó pààrọ̀ aṣọ, ó pámọ́ra, kòsì pa ohùn dà",,Patú panumó pààrò pámóra pa ohun dà,"Arábìnrin náà patú, o sì panumọ́, ó pààrọ̀ aṣọ, ó pámọ́ra, kòsì pa ohùn dà",Pààrò patú pámóra panumó pa ohun dà,Patú. Patú panumó. Patú pààrò. Patú pámóra. Patú pa ohun dà,Panumó. Panumó patú. Panumó pààrò. Panumó pámóra. Panumó pa ohun dà
98,Kíni ìyàtọ̀ láàrin jígí àti dígí?,"jígí(eye glass)
 dígí(mirror)",,"Jígí – (A small musical instrument)
Dígí – (A large container used for cooking)","jígí(eye glass)
 dígí(mirror)","Jígí – (A basket used for storing fruits)
Dígí – (A mat used for sleeping on the floor)","Jígí – (A shield used in battle)
Dígí – (A staff used for walking)","Jígí – (A small knife used for carving)
Dígí – (A large drum used for ceremonies)"
99,"Kíni ìtumọ̀ àkànlò-èdè yìí ""Sòròṣágbòn""",Kí èyàn sòrò fún Olófòófó,,Kí èyàn gbé orin fún Olófòófó,Kí èyàn sòrò fún Olófòófó,Kí èyàn kọ̀wé fún Olófòófó,Kí èyàn fọwọ́ kàn fún Olófòófó,Kí èyàn kó ìmọ̀ jọ fún Olófòófó
100,"Kíni ọ̀rọ̀ Yorùbá fún ""circle""?",Òbìrìkìtí,,Sáré,Òbìrìkìtí,Yíyí,Omi,Ilé ayé
101,"Àwọn wo ni Yorùbá n pè ní ""Ìwẹ̀fà""?",Àwọn tí wọ́n wà ní àgbàlá ọba tí wọ́n ń tọ́jú àwọn ayaba láyé àtijọ́,,Àwọn tí wọ́n wà ní ọgbà ọba tí wọ́n ń ṣètò ayẹyẹ,wọn tí wọ́n wà ní ilé-ìjọba tí wọ́n ń darí ìṣèlú,ọn tí wọ́n wà ní àgbàlá olóyè tí wọ́n ń fọwọ́sowọ́pọ̀,Àwọn tí wọ́n wà ní àgbàlá ọba tí wọ́n ń tọ́jú àwọn ayaba láyé àtijọ́,Àwọn tí wọ́n wà ní ọgbà ìmọ̀ tí wọ́n ń kó ìmọ̀ jọ
102,"Kíni Yorùbá n pè ní ""Ìdàndá?","Mirage
 Ohun tí a ń wó ní ọ̀ọ́kán, tí kìí ṣe òhun",,"Ohun tí a ń rí ní ojú ọ̀run, tí kìí ṣe òòrùn.","Mirage
Ohun tí a ń wó ní ọ̀ọ́kán, tí kìí ṣe òhun","Òjìji
Ohun tí a ń rí lẹ́yìn ohun kan, tí kìí ṣe ohun náà gangan","Àwòrán
Ohun tí a ń rí ní ara ògiri, tí kìí ṣe ohun tó wà níbẹ̀","Èéfín
Ohun tí a ń rí níbi iná, tí kìí ṣe iná náà gangan."
103,"Kíni Yorùbá n pè ní ""transmitter""?",Alátagbà,,Alátagbà,Atanná,Ilé àwọn ẹyẹ,Àgbàrá afẹ́fẹ́,Àwòrán ojú ọ̀run
104,"Kíni Yorùbá n pè ní ""valley""?",Àfonífojì,,Àgbàlá òkè,Ìsàlẹ̀ òkè,Àfonífojì,Omi òkè,Ọ̀dẹ̀dẹ̀ òkè
105,"Parí ọ̀wẹ Yorùbá yìí 
 ""àràkún láṣọ̀ Gbági ..........""",aṣọ làáwọ̀ lọ raṣọ,,ó ń jẹ búrẹ́dì,ó ń ka ìwé,ó ń gun kẹ̀kẹ́,ó ń wo tẹlifíṣọ̀n,aṣọ làáwọ̀ lọ raṣọ
106,"Níbo ní ilẹ̀ Yorùbá ní ""igbó elẹ́dùmarè"" wà?",Ìpínlẹ̀ Oǹdó(Òkè Igbó),,Ìpínlẹ̀ Ogun,Ìpínlẹ̀ Èkìtì,Ìpínlẹ̀ Oǹdó(Òkè Àtijọ́),Ìpínlẹ̀ Oǹdó(Òkè Igbó),Ìpínlẹ̀ Ògùn
107,"Kíní ìtumọ̀ ọ̀rọ̀ yorùbá yìí ""làìdẹ́ìnà pẹnu""?",Láì fi ọ̀pá pọ̀lọ̀pọlọ pejò (in a nutshell),,Láì fi àṣọ bo ojú,Láì fi ọ̀pá pọ̀lọ̀pọlọ pejò ,Láì fi omi wẹ ẹnu,Láì fi iyẹ bo ẹnu,Láì fi ewe bo ẹnu
109,kíni ìyàtọ̀ láàárin Adélébò àti Abilékọ?,"Adélébọ̀: Obìrin tó ti lọ́kọ rí
Abíléko: Obìrin tó wà nílé ọkọ",,Adélébò: Obìnrin tó ti kọ́kọ́ nífẹ̀ẹ́; Abilékọ: Obìnrin tí ń ṣètò ìdílé,"Adélébọ̀: Obìrin tó ti lọ́kọ rí
Abíléko: Obìrin tó wà nílé ọkọ",Adélébò: Obìnrin tó ti mọ ìtàn; Abilékọ: Obìnrin tí ń darí ìbáṣepọ̀,Adélébò: Obìnrin tó ti fi ọ̀rẹ́ hàn; Abilékọ: Obìnrin tí ń tọ́jú ọmọ,Adélébò: Obìnrin tó ti ní ìdílé; Abilékọ: Obìnrin tí ń ṣètò àwọn nǹkan
110,"Ọ̀rẹ́ ńjẹ́ ọ̀rẹ́, ọ̀rà ńjẹ́ ọ̀rà, 
 ẹnikan kìí dúpẹ́ lọ́wọ́ mọ ta ọ̀pọ̀ 
 Kí ni iyato to wa láàrín ọ̀rẹ́ àti ọ̀rà?","Ọrẹ(Ohun tí a fún ni ọ̀fẹ́)
 Ọrà(Ohun tí a fowó rà)",,"Ọ̀rẹ́ (Ohun tí kò ní iye) 
Ọ̀rà (Ohun tí a gbà ní báǹkì)","Ọ̀rẹ́ (Ohun tí a fi ìfẹ́ ṣe) 
Ọ̀rà (Ohun tí a fi ojú ṣe)","Ọ̀rẹ́ (Ohun tí a fi àǹfààní ṣe)  
Ọ̀rà (Ohun tí a mú nílẹ̀)","Ọ̀rẹ́ (Ohun tí a gbà lọ́fẹ̀ẹ́) 
Ọ̀rà (Ohun tí a ta ní ọ̀pọ̀)","Ọrẹ(Ohun tí a fún ni ọ̀fẹ́)
 Ọrà(Ohun tí a fowó rà)"
111,"Parí òwe Yorùbá yìí, 
 Aṣòróójà bí ìjà ọjà, onítìjú òní sá.........",Ẹni tí wọ́n ń nà ò ní dáwó dúró,,Ẹni tí ń wòran kò ní lọ,Ẹni tí à ń retí kò ní dé,Ẹni tí a ń pè kò ní dáhùn,Ẹni tí wọ́n ń nà ò ní dáwó dúró,Ẹni tí ń ṣiṣẹ́ kò ní sinmi
112,"Parí òwe yì: 
 Ebí ń pamí olóṣè ń kiri.....",Àwọn tí wọ́n ń ta iyanrì(sand),,Àwọn tí wọ́n ń ta ẹ̀p̣o,Àwọn tí wọ́n ń ta iyanrì(sand),Àwọn tí wọ́n ń ta ẹ̀fọ́,Àwọn tí wọ́n ń ta ìròyìn,Àwọn tí wọ́n ń ta aṣọ
113,A kii moogun moote...,Kí iṣu ewùrà má lémọ,,Kí iṣu ewùrà má lémọ,Kí ajá má rí ekùn,Kí òjò má rọ̀ sínú omi,Kí igi má só esó òkutà,Kí òkùnrin má bí òbìnrin
114,"Kíni Yorùbá n pè ""Empowerment""?",Ìrónilágbára,,Ìrónilágbára,Ìfarapa,Ìfúnnilówó,Ìtọ́nisọ́nà,Ríra ohun èlò fún ni
115,"Kíni ""Misconception"" ni Yorùbá?",Àṣìrò,,Àsìrí,Àṣìrò,Àsìyàn,Èrò irọ́,Ìṣírò
116,"Kíni ""Creative"" ni Yorùbá?",Àtínúdá,,Àtínúdá,Àtẹnujẹ,Àtínùwà,Wíwà láyé,Ṣíṣe íṣé
117,"Kíni ""Appreciation"" ni Yorùbá?",Ìmọ-ore,,Ìdúpẹ́,Ìfúnnilówó,Ìmọ̀-ọtá,Kì ènìyàn máa jó,Ọpẹ́ dídá
118,"Kíní yoruba n pè ní ""àkànnàmàgbò""?",Ewéko,,Ewéko,Òkúta,Òkè,Àwọ̀sanma,Oòrùn
119,"Kíní Yorùbá ọ̀rọ̀ yìí ""cheese""?",Wàràkàsí,,Ẹ̀fọ́,Ewé,Wàràkàsí,Ògì,Omi
120,"Parí òwe yìí 
 ""Tí ojú bá pón àgàn.......""",Ó lè dá àbá àbíkú,,Ó lè dá àbá àbíkú,Ó lè ṣe ìràwè,Ó lè f'ọmọ ṣe ìràntí,Ó lè fi ọmọ ṣe ọ̀ṣọ́,Ó lè fi ọmọ ṣe oògùn
121,"Kíní Yorùbá ọ̀rọ̀ yìí """"baboon""""?",Ìlábùrù,,Ọ̀bọ,Ìnàkí,Ẹṣin,Ìlábùrù,Ẹranko igbó
122,"Parí òwe Yorùbá yìí 
 ""Ohun tí n wuni ni n pò lórò eni..........""","Ológún ẹrú kú, aṣọ ẹ̀ jẹ́ ìkan",,Ẹyẹ ni n kọ́ ilé nínú omi,Àwọn igi ni n kọrin fún àwọn ẹranko,Ilẹ̀ ni n gbé àwọn ìràwọ̀,Afẹ́fẹ́ ni n kọ́ ilé lórí òkè,"Ológún ẹrú kú, aṣọ ẹ̀ jẹ́ ìkan"
123,Irú Ìyàwó wo ni Yorùbá ń pè ní Ìyàwó àbètélẹ,Ìyàwó tí a tọrọ ní áti kékeré,,Ìyàwó tí a tọrọ ní áti kékeré,ìyàwó tí ó máa ń gbà owó lọ́wọ́ ọkọ rẹ̀,ìyàwó tí ó máa ń ṣe oúnjẹ fún àwọn ọ̀rẹ́ ọkọ rẹ̀,ìyàwó tí ó máa ń kọrin fún ọkọ rẹ̀ ní alẹ́,ìyàwó tí ó máa ń lọ sí ọjà lójoojúmọ́
124,"Kíni Yorùbá n pè ""Egòn""?",Igbó kìjikìji,,Òkúta,Igbó kìjikìji,Àwòrán,Oúnjẹ,Ìwé
125,"Parí òwe Yorùbá yìí 
 ""Ìyà méjì kìí jẹ òkóbó""","tí ò bá lókó, á lóko(farm)",,"tí ò bá lókó, á lóko","tí ò bá lókó, á lórí","tí ò bá lókó, á lómi","tí ò bá lókó, á lókùn","tí ò bá lókó, á lóyé"
126,"Àwọn wo ni Yorùbá n pè ní ""arota""",Ẹrú,,Oníṣẹ́,Ẹrú,Ọmọdé,Ìyàwó,Aláìní
127,"Kíni Yorùbá n pè ní ""Ìkìsà"" ?",Àgbọ̀nrín,,ọ̀pá ìrìn,aṣọ àlà,Àgbọ̀nrín,ilé ìgbẹ́,ẹyẹ àdàbà
128,"Kíni Yorùbá n pè ní ""àrándùn""?",Àsodùn,,Àsodùn,Ìwòsàn,Àgbọ́nrín,Ìgbàgbọ́,Ìrètí
129,"Kíni Yorùbá n pè ní ""Kokonboju""?",Ilà kíkọ tí a kò lè fi dá ènìyàn mò,,Òjò tí a kò lè fi ibi tí ó ti wá mọ̀,Ẹyẹ tí a kò lè fi orin mọ̀,Ilà kíkọ tí a kò lè fi dá ènìyàn mò,Igi tí a kò lè fi èso mọ̀,Omi tí a kò lè fi ìgbà mọ̀
131,"Níbo ní ilẹ̀ yorùbá ní ""adágún odò orí àpáta"" wà?",Àdó-Àwàyè,,Àárín Ìlọrin,Àdó-Àwàyè,Ìlú Òṣogbo,Ìlú Ìfẹ́,Iléṣà
132,"Kí ni Yorùbá n pe ""Flask""?",Ṣágó,,Ìgò,Ìkòkò afẹ́fẹ́,Àwo omi onírin,Àwo,Ṣágó
134,"Àwọn wo ni Yorùbá n pè ní ""alákàtànpọ̀""",Àwọn tafàtafà,,Àwọn alárìnká,Àwọn aláròyé,Àwọn tafàtafà,Àwọn akọrin,Àwọn apẹja
135,"Kíni ọ̀rọ̀ Yorùbá fún ""Spinster""?",Omidan,,Omidan,Àgbàbírin,Àrèmọbìnrin,Ìyàwó-ìgbà-pípẹ́,Àlejò-ilé
136,"Tí Yorùbá bá pe obìnrin ní ""ajáìdí apèrè"" kí ló túmọ̀ sí?",Obìnrin tó ń ṣèṣekúṣe,,Obìnrin tó ń gbé apẹ̀rẹ̀ lọ sí ọjà,Obìnrin tó ń fi ìdí ṣe iṣẹ́ ìyanu,Obìnrin tó ń ṣèṣekúṣe,Obìnrin tó ní ìdí tó dà bí apẹ̀rẹ̀,Obìnrin tó máa ń kó ohun èlò sínú apẹ̀rẹ̀
137,Kíni ọ̀rọ̀ Yorùbá fún 'Savannah'?,Ọ̀dàn,,Ọ̀dàn,Igbó,Odò,Òkè,Ọjà
138,"Kíni Yorùbá n pè ní ""òkùdù""
 ""wón ní òkùdù tó pa ẹṣin lè pa ènìyàn""",Kòtò àgbẹ́kù,,Omi odò,Kòtò àgbẹ́kù,Ẹyẹ igbó,Oòrùn ọ̀sán,Oṣùpá alẹ́
139,"Parí òwe Yorùbá yìí 
 ""àgbà tí ó bá fi arúgbó ara kọ ìlú""",Ọ̀mẹ́lẹ́ ni wọ́n máa ń sán kú,,Àjòjì ni yóò máa gba ilé rẹ̀,Ọ̀mẹ́lẹ́ ni wọ́n máa ń sán kú,Ìyà ni yóò máa jẹ ọmọ rẹ̀,Ìwòfà ni yóò máa gbé ilé rẹ̀,Ìbajè ni yóò máa bàá ilé rẹ̀ jẹ́
140,"Kíní òrò Yorùbá fún ""Camwood""?",Osùn,,Àdín,Osùn,Èkuru,Ìròkò,Ègùsì
141,"Kíni Yorùbá n pè ní ""èkùró""?",Kòkòrò ẹ̀wà,,Ọ̀gẹ̀dẹ̀,èso ọ̀pẹ,Igi oṣè,Kòkòrò ẹ̀wà,Iṣu
142,"Kíní ìtumọ̀ ọ̀rọ̀ Yorùbá yìí ""Láì Déèna pẹnu""?",Láì fi òpá pọ̀lọ̀pọlọ pejò (in a nutshell),,ìbànújẹ́,Láì fi òpá pọ̀lọ̀pọlọ pejò (in a nutshell),ìyàlẹ́nu,ìfọ̀kànbalẹ̀,ìwòsí
143,"Yorùbá máa ń pa èdè kan wípé agbe ní n gbé ire pàdé olókun, kínì ""agbe""?",Ẹyẹ,,Ẹyẹ,Igi,Ọjà,Ìgbà,Ọ̀nà
145,"Kíní orúkọ míràn tí Yorùbá n pe ""kókó inú ìyán""?",Emọ,,Ata,Ìṣu,Emọ,Iyọ̀,Omi
146,"Ọmọ aládìye ògògòmògà, ìlú wo ni wọ́n ma n kí oríkì wọn bẹ́ẹ̀?",Ìjèbú,,Akúrẹ́,Ẹ̀gbá,Ìlọrin,Òṣogbo,Ìjèbú
147,"Àwọn wo ni Yorùbá n pè ní ""aláàgbédá""?",Oníjìbìtì,,Oníṣòwò,Oníṣègùn,Oníjìbìtì,Oníṣẹ́-oko,Agbẹ́gilére
148,"Kini Yorùbá n pè ní ""Aga""?dodo",Caution sign,,dancing drum,caution sign,singing leaf,burning cloud,running tree
149,"Àlò oooo
 'Ìyá rúgúdú pọ̀nmi sínú, ó wọ̀ ẹ̀wù irin'
 kíni oooo??",Èkùrọ́,,Àgbàdo,Àdín,Ọ̀pẹ,Èkùrọ́,Ẹ̀wà
150,"Kini Yorùbá n pè ní ""Akéte""?",Ibùsùn,,Ọ̀bẹ,Ibùsùn,Aago,Àwòrán,Ìwé
151,Kíni ṣe èyọ̀ túnmọ̀ sí ní èdè Yorùbá?,Kí èyàn lọ tọ̀,,Kí èyàn lọ tọ̀,àwọ̀ pupa,igi gíga,ẹranko kékeré,omi tútù
152,Kíni 'law enforcer' ní Yorùbá,Agbófinró,,Olùṣọ́àgbà,Oníṣẹ́òkúta,Agbófinró,Olùṣọ́ẹ̀yẹ,Ẹniàṣọ́ọ̀fín
153,"Kini òrò Yorùbá yìí túnmọ̀ sí ""Alàdìí fonórù""?",Ilé ti to lọ (time to go home),,Oúnjẹ ti sè tán,Ilé ti to lọ,Òjò ń rò lónìí,Ọmọ náà ń sùn,Ọjà ti ń ṣí
154,Kíni à ń pè ní 'àmù' ní ilé Yorùbá?,Ikoko ti won maa n bu omi si,,Ikoko ti won maa n se ewa si,Ikoko ti won maa n da isu si,Ikoko ti won maa n ko owo si.,Ìkòkò tí wọ́n máa ń gún iyán sí,Ikoko ti won maa n bu omi si
155,Ṣàlàyé ọ̀rọ̀ yìí 'ìsákọ̀lè',,,Aṣọ tí wón máa ń fi ṣe àdúrà,Owó tàbí ẹ̀bùn tí ènìyàn máa n fún ní bíi ọ̀pẹ̀,Ewé tí wón máa ń fi ṣe oògùn,Igí tí wón máa ń fi ṣe àga,Ẹja tí wón máa ń fi ṣe ọbẹ̀
156,"Parí òwe yìí
 Ẹni tí ń walẹ̀ ní ń sínkú....","Ẹni ń súkùn, ariwo lasan ni ń pa.",,"Ẹni ń súkùn, ariwo lasan ni ń pa.","Ẹni tí ń gbẹ́ igi, igi lásán ni ń gé","Ẹni tí ń kọ́ ilé, òkúta lásán ni ń tó","Ẹni tí ń ṣe oúnjẹ, ìyẹ̀fun lásán ni ń lò","Ẹni tí ń ṣiṣẹ́ oko, irúgbìn lásán ni ń gbìn"
157,"Kini itumo oro yoruba yii
 Omi gbigbona kìí jólé","Kòsí bíi nkan bà ṣe lè tó, ó ń bò wá dérò.",,Omi gbígbóná kìí mú ijó wá,Omi tó hó kìí kọ́ ilé,Omi tó gbóná kìí gbin oko,"Kòsí bíi nkan bà ṣe lè tó, ó ń bò wá dérò.",Omi tó hó kìí kọ ìwé
158,"Parí òwe Yorùbá yìí ""Ọhun tí ń wuni ni n pò lóro ènìyàn","Ológun ẹrú kú, aṣọ è jẹ́ ìkan",,nínú ìwé kíkà rẹ̀,nígbà tí ó di àgbà,látìgbà èwe rẹ̀,nínú àlá rẹ̀,"Ológun ẹrú kú, aṣọ è jẹ́ ìkan"
159,"Kíni ìyàtọ̀ láàrin ""ìlábùrù àti abilà""?","Ìlábùrú - Baboon
Àbìlà  - Zebra ",,"Ìlábùrù - Mountain; 
Àbìlà - River.","Ìlábùrú - Baboon
Àbìlà  - Zebra ","Ìlábùrù - Cloud
Àbìlà - Star","Ìlábùrù - Drum
Àbìlà - Flute","Ìlábùrù - Cloth
Àbìlà - Thread"
160,"Tí 'fast' ba jẹ́ yàrà
 Kíni ọ̀rọ̀ Yorùbá fún 'slow'?",Yíyọ́ (yọ́),,Ìrìn,Ìjókòó,Yíyọ́ (yọ́),Ìgbàlẹ́,Ìkọ̀wé
161,"Lo àwọn ọ̀rọ̀ márùn ún yi nínu gbólóhùn kan
 “dárayá, faraya, kíyèésárà, fáramó, fáramó”","Mo lọ sí eré ìdaŕayá kan, níbití ẹni tó gbàwá lálejò ti faraya, nítorí kò kíyèsara tí ohun tó ṣelè sì ṣeé faramọ́",,Ìwà rere ló dára jù,Òtítọ́ máa ń borí èké,Àlàáfíà ilé mi ni mo n fẹ́,"Mo lọ sí eré ìdaŕayá kan, níbití ẹni tó gbàwá lálejò ti faraya, nítorí kò kíyèsara tí ohun tó ṣelè sì ṣeé faramọ́",Ìmọ̀ ni ìmólẹ̀
162,"Parí òwe Yorùbá yìí
 ""apàtẹ̀wọ́ fún wèrè jó.........""",òhun àti wèrè ìkan ni wọ́n,,bí ẹní n ṣe ìwà ìbàjẹ́,bí ẹní n ṣe àṣejù,òhun àti wèrè ìkan ni wọ́n,.bí ẹní n ṣe àwàdà,bí ẹní n ṣe ìgbéraga
163,"Parí òwe Yorùbá yìí
 ""A kìn pa òdu òyà loju òtá ènìyàn ....""",ọmọ elébọ́rọ́ lásán lapa,,ọmọ elébọ́rọ́ lásán lapa,kí á tó rí àlàáfíà,kí á tó rí ìdàgbàsókè,kí á tó lè jẹ́ àṣeyọrí,kí á tó lè ní ayọ̀
164,"Parí òrọ Yorùbá yìí
 ""Nítorí afójú ní òjò ṣe n kú, nítorí adití ní òjò ṣe n ṣe kíni?",Ṣú,,jó,rẹ́rìn-ín,sùn,Ṣú,rò
165,Kíni Yorùbá n pè ní 'òbèlè'?,Ọkọ̀ ojú omi (Canoe),,Àṣọ,Ọkọ̀ ojú omi,Àtẹlẹwọ́,Ọ̀nà,Òkuta
166,Kíni òrò Yorùbá fún ẹranko yìí 'potto'?,Ikì,,Ẹlẹ́dẹ̀ igbó,Ikì,Àgùnfọn,Ẹkùn,Ẹtu
167,"""Irú ọmọ wo ni Yorùbá n sọ ní 'Ojúólápé'?""",Àbígbẹ̀yìn ọmọ,,Ọmọ ará oko,Ọmọ alárìnkiri,Ọmọ onísẹ́ ọwọ́,Àbígbẹ̀yìn ọmọ,Ọmọ oníṣòwò
168,"Ìdúró ò sí, ìbèrè ò sí f’ẹni tó gbódó mì.
 Irú ènìyàn wo ni a lè pè ní a gbódó mì?",Ẹni tó wà nínú wàhálà,,Ẹni tó ń ṣe àwàdà,Ẹni tó ń wá ọrọ̀,Ẹni tó wà nínú wàhálà,Ẹni tó ń fi ìfẹ́ hàn,Ẹni tó ń ṣe iṣẹ́ àgbẹ̀
169,"Tí Yorùbá bá sọpé kò sí àbùjá lóòrùn ọpẹ, kíni àbùjá?",Ọ̀nà èbùrú,,Aaye ti o ṣofo,Ọ̀nà èbùrú,Igi ti o gbẹ,Iṣẹ́ ti o ṣòro,Ìdààmú ti o pọ̀
170,What's the Yorùbá word for 'Eagle'?,Idì,,Àdàbà,Àkùkọ,Ẹyẹ-àparò,agbe,Idì
171,"Parí òwe yìí 
 ""Didùn ló dùn tí a fi bá òré jèkò......",ti ilé oge tógeé jẹ,,kí a sì rántí ìgbà àtijó,kí a sì rí ayò láìpẹ́,kí a sì gbàgbé ìyà,ti ilé oge tógeé jẹ,kí a sì máa fi ìyìn fún Ọlọ́run
172,Kíni ọ̀rọ̀ Yorùbá fún 'Bribe'?,"Rìbá, Owó ẹ̀yìn, Ṣọwọ́ kúdúrú, Ẹ̀gúnjẹ",,Ẹ̀bùn,Ìfúnni àìtọ́,"Rìbá, Owó ẹ̀yìn, Ṣọwọ́ kúdúrú, Ẹ̀gúnjẹ",Ìfúnni,Ìbùkún
173,Irú òunje wo ni Yorùbá n pè ní 'ọ̀jọ̀jọ̀' kíní òun pàtó tí wọn fi n ṣe?,"Oúnjẹ ilẹ̀ Yorùbá, Isu ewura ni a fi n se",,"Oúnjẹ ilẹ̀ Yorùbá, Eran ewure ni a fi n se","Oúnjẹ ilẹ̀ Yorùbá, Agbado tutu ni a fi n se","Oúnjẹ ilẹ̀ Yorùbá, Iresi ni a fi n se","Oúnjẹ ilẹ̀ Yorùbá, Ewa pupa ni a fi n se","Oúnjẹ ilẹ̀ Yorùbá, Isu ewura ni a fi n se"
174,"Parí òwe Yorùbá yìí
 'Ẹmó kù ojú ọpò dí ....'","bí àfẹ̀rẹ̀bòjò bá kú, ẹnu isà á ṣòfo",,"bí igi bá wó, àwọn ẹyẹ á fò lọ","bí àfẹ̀rẹ̀bòjò bá kú, ẹnu isà á ṣòfo","bí ẹjà bá gbẹ, àwọn ènìyàn á ṣàárò","bí òjò bá rọ̀, ilẹ̀ á tutù","bí ilẹ̀ bá gbẹ, ewé á rọ"
175,Kíni àwọn Yorùbá n pè ní “kolokóló”?,Ohun tí a máa ń fi sí ọrùn ajá bíi ṣaworo,,Ohun tí a máa ń fi sí ẹsẹ̀ ẹṣin bíi irin,Ohun tí a máa ń fi sí ọrùn ajá bíi ṣaworo,Ohun tí a máa ń fi sí orí ọmọdé bíi ìlẹ̀kẹ̀,hun tí a máa ń fi sí ìdí agbọ̀n bíi okùn,
176,Yorùbá bò wọ́n ní 'lálá tó ròkè ìlè lón bò' kíní 'lala'?,Ilá,,Èwà,Iyọ̀,Ọ̀gẹ̀dẹ̀,Ilá,Àkàrà
177,Kíni ọ̀rọ̀ Yorùbá fún 'Guinea-worm'?,Sòbìyà,,Sòbìyà,Àrùn-ìgbóná,Òjò-ẹjẹ̀,Ìtàn-ẹran,Irú-ẹran
178,Kíni ọ̀rọ̀ Yorùbá fún 'Lungs'?,Fùkù,,Èékánná,Fùkù,Ìdí,Eérú,Ìyàwó
179,Àwọn wo ní Yorùbá ń pè ní 'adídàgìrì'?,Alarmist,,Wanderer,Storyteller,Gossiper,Alarmist,Critic
180,Kíni àkólé orúkọ ọba ìlú Ọndó?,Òṣemàwé,,Ìyálóde,Bọ́lájí,Ọba,Balógun,Òṣemàwé
182,"Òwe Yorùbá kan ní Ijapa wọnú orù, ó ku àtiyọ 
 Kíni Yorùbá n pè ní 'orù'?",Ìkòkò,,Ìkòkò,Àpótí,Ìgò,Àgọ́,Àwo
183,"Kíni Yorùbá n pè èranko yìí ""Skink""?",Aláyùnbẹ́rẹ́,,Ìjàpá,Ọ̀bọ,Ẹkùn,Aláyùnbẹ́rẹ́,Àdán
184,Kíni Yorùbá n pè ní 'ìrèmòjé'?,Orin tí a máa fi ń dárò ọdẹ,,Orin tí a máa fi ń dárò olùkọ́,Orin tí a máa fi ń dárò àgbẹ̀,Orin tí a máa fi ń dárò ọmọdé,Orin tí a máa fi ń dárò ọlọ́jà,Orin tí a máa fi ń dárò ọdẹ
185,"Lo àwọn ọ̀rọ̀ márùn yìí nínu gbólóhùn kan
 ""Fiséyìn, fiséyìn, fèýinti, èyìnodi, owó èyin.""",,,,,,,
186,"Parí òwe Yorùbá yìí
 ""mà fi oko mi dà ònà.......""",Ọjọ́ kan là á ko,,kí ẹranko má bàá rìn,kí ilẹ̀ má bàá gbẹ,Ọjọ́ kan là á ko,kí òjò má bàá rọ̀,kí igi má bàá dàgbà
187,"Kíni òrò yorùbá fún ""Century""?",Ọrúndún,,Ọrúndún,Àwọn-ọdún,Ìgbà-àádọ́ta,Ìrọ́dún,Àdọ́ta-ọdún
188,"Kini ìtumò òrò Yorùbá yìí ""isọgbè""?",Aláàbárìn,,Asọ̀rọ̀dùn,Olùtọ́jú,Aláàbárìn,Agbẹjọ́rò,Alágbàwí
189,"Parí òwe Yorùbá yìí
 ""Bi owó eku bá ṣe mó ..... """,ló ṣe máa fi họra,,ọjà a di idàrúdàpọ̀,ló ṣe máa fi họra,ọgbà á di ahoro,aṣọ á di ẹlẹ́gbin,ọmọ á di aláìgbọràn
190,Kíni òrọ yorùbá fún 'Bomb'?,Àdó-olóró,,Àdó-olóró,Ìjàǹbá,Ìparun,Ìdàrúdàpọ̀,Ìbẹ̀rù
191,"Tí àkùkò bá jẹ́ 'cock' tí àdìyẹ jẹ́ 'chicken', kíni 'chick' Ní Yorùbá?",Òròmadìye,,Ẹyẹ-wẹ́wẹ́,Ọmọwẹ́wẹ́,Ọmọfunfun,Ọmọ-ẹyẹ,Òròmadìye
192,"Parí òwe yìí: 
 'Àgbàtán là ń gba òlé, bí a dáso fún òlé à pa láro...'","Bí a bá la ọ̀le níjà, àá sín délé",,"bí a bá la ọ̀le níjà, àá sín délé",a gbé sínú omi,a fi ṣe aṣọ̀,a fi kọ́lé,a di òkúta
193,"Parí òwe yìí:
 'àgbà tó fi arúgbó ara kó ìlù....'",Omele ni wọ́n máa ń sán kú,,Àjòjì ni yóò máa gba ilé rẹ̀,Ọ̀mẹ́lẹ́ ni wọ́n máa ń sán kú,Ìyà ni yóò máa jẹ ọmọ rẹ̀,Ìwòfà ni yóò máa gbé ilé rẹ̀,Ìbajè ni yóò máa bàá ilé rẹ̀ jẹ́
194,"Kíni òrò Yorùbá fún ""pilfering""?",Àfọ́wọ́rá/Fẹ́wọ́,,Ìyàsọ́tọ̀,Ìgbàgbé,Àfọ́wọ́rá/Fẹ́wọ́,Ìrìnkiri,Ìyípadà
195,"Kíni Yorùbá n pè èranko yìí ""tree hyrax""?",Ọ̀fàfà,,Ẹkùn-igi,Ọ̀bọ,Ẹfọ̀n,Adán-igi,Ọ̀fàfà
196,Kíni Yorùbá pè ní èbìrìpò?,Oúnje ilẹ̀ Yorùbá,,Oúnje,Àṣọ,Ohun èlò,Èso,Ìyẹ̀fun
197,"Parí òwe yìí
 ""Dátóró dàtòrò dátóró""","Àgbà tí ò bá dátọ́rọ́, omi ọbè láá mu",,níí mú ìjà wá,"Àgbà tí ò bá dátọ́rọ́, omi ọbè láá mu",kò mú èrè wá,.ń ṣe ìpalára fún ara rẹ̀,kò mú ayọ̀ wá
