S/N,Question,Answer,Unnamed: 3,option_1,option_2,option_3,option_4,option_5
102,"Kíni Yorùbá n pè ní ""Ìdàndá?","Mirage
 Ohun tí a ń wó ní ọ̀ọ́kán, tí kìí ṣe òhun",,"Ohun tí a ń rí ní ojú ọ̀run, tí kìí ṣe òòrùn.","Mirage
Ohun tí a ń wó ní ọ̀ọ́kán, tí kìí ṣe òhun","Òjìji
Ohun tí a ń rí lẹ́yìn ohun kan, tí kìí ṣe ohun náà gangan","Àwòrán
Ohun tí a ń rí ní ara ògiri, tí kìí ṣe ohun tó wà níbẹ̀","Èéfín
Ohun tí a ń rí níbi iná, tí kìí ṣe iná náà gangan."
103,"Kíni Yorùbá n pè ní ""transmitter""?",option_1,,Alátagbà,Atanná,Ilé àwọn ẹyẹ,Àgbàrá afẹ́fẹ́,Àwòrán ojú ọ̀run
104,"Kíni Yorùbá n pè ní ""valley""?",option_3,,Àgbàlá òkè,Ìsàlẹ̀ òkè,Àfonífojì,Omi òkè,Ọ̀dẹ̀dẹ̀ òkè
105,"Parí ọ̀wẹ Yorùbá yìí 
 ""àràkún láṣọ̀ Gbági ..........""",option_5,,ó ń jẹ búrẹ́dì,ó ń ka ìwé,ó ń gun kẹ̀kẹ́,ó ń wo tẹlifíṣọ̀n,aṣọ làáwọ̀ lọ raṣọ
106,"Níbo ní ilẹ̀ Yorùbá ní ""igbó elẹ́dùmarè"" wà?",option_4,,Ìpínlẹ̀ Ogun,Ìpínlẹ̀ Èkìtì,Ìpínlẹ̀ Oǹdó(Òkè Àtijọ́),Ìpínlẹ̀ Oǹdó(Òkè Igbó),Ìpínlẹ̀ Ògùn
107,"Kíní ìtumọ̀ ọ̀rọ̀ yorùbá yìí ""làìdẹ́ìnà pẹnu""?",Láì fi ọ̀pá pọ̀lọ̀pọlọ pejò (in a nutshell),,Láì fi àṣọ bo ojú,Láì fi ọ̀pá pọ̀lọ̀pọlọ pejò ,Láì fi omi wẹ ẹnu,Láì fi iyẹ bo ẹnu,Láì fi ewe bo ẹnu
109,kíni ìyàtọ̀ láàárin Adélébò àti Abilékọ?,option_2,,Adélébò: Obìnrin tó ti kọ́kọ́ nífẹ̀ẹ́; Abilékọ: Obìnrin tí ń ṣètò ìdílé,"Adélébọ̀: Obìrin tó ti lọ́kọ rí
Abíléko: Obìrin tó wà nílé ọkọ",Adélébò: Obìnrin tó ti mọ ìtàn; Abilékọ: Obìnrin tí ń darí ìbáṣepọ̀,Adélébò: Obìnrin tó ti fi ọ̀rẹ́ hàn; Abilékọ: Obìnrin tí ń tọ́jú ọmọ,Adélébò: Obìnrin tó ti ní ìdílé; Abilékọ: Obìnrin tí ń ṣètò àwọn nǹkan
110,"Ọ̀rẹ́ ńjẹ́ ọ̀rẹ́, ọ̀rà ńjẹ́ ọ̀rà, 
 ẹnikan kìí dúpẹ́ lọ́wọ́ mọ ta ọ̀pọ̀ 
 Kí ni iyato to wa láàrín ọ̀rẹ́ àti ọ̀rà?",option_5,,"Ọ̀rẹ́ (Ohun tí kò ní iye) 
Ọ̀rà (Ohun tí a gbà ní báǹkì)","Ọ̀rẹ́ (Ohun tí a fi ìfẹ́ ṣe) 
Ọ̀rà (Ohun tí a fi ojú ṣe)","Ọ̀rẹ́ (Ohun tí a fi àǹfààní ṣe)  
Ọ̀rà (Ohun tí a mú nílẹ̀)","Ọ̀rẹ́ (Ohun tí a gbà lọ́fẹ̀ẹ́) 
Ọ̀rà (Ohun tí a ta ní ọ̀pọ̀)","Ọrẹ(Ohun tí a fún ni ọ̀fẹ́)
 Ọrà(Ohun tí a fowó rà)"
111,"Parí òwe Yorùbá yìí, 
 Aṣòróójà bí ìjà ọjà, onítìjú òní sá.........",option_4,,Ẹni tí ń wòran kò ní lọ,Ẹni tí à ń retí kò ní dé,Ẹni tí a ń pè kò ní dáhùn,Ẹni tí wọ́n ń nà ò ní dáwó dúró,Ẹni tí ń ṣiṣẹ́ kò ní sinmi
112,"Parí òwe yì: 
 Ebí ń pamí olóṣè ń kiri.....",option_2,,Àwọn tí wọ́n ń ta ẹ̀p̣o,Àwọn tí wọ́n ń ta iyanrì(sand),Àwọn tí wọ́n ń ta ẹ̀fọ́,Àwọn tí wọ́n ń ta ìròyìn,Àwọn tí wọ́n ń ta aṣọ
113,A kii moogun moote...,option_1,,Kí iṣu ewùrà má lémọ,Kí ajá má rí ekùn,Kí òjò má rọ̀ sínú omi,Kí igi má só esó òkutà,Kí òkùnrin má bí òbìnrin
114,"Kíni Yorùbá n pè ""Empowerment""?",option_1,,Ìrónilágbára,Ìfarapa,Ìfúnnilówó,Ìtọ́nisọ́nà,Ríra ohun èlò fún ni
115,"Kíni ""Misconception"" ni Yorùbá?",option_2,,Àsìrí,Àṣìrò,Àsìyàn,Èrò irọ́,Ìṣírò
116,"Kíni ""Creative"" ni Yorùbá?",option_1,,Àtínúdá,Àtẹnujẹ,Àtínùwà,Wíwà láyé,Ṣíṣe íṣé
117,"Kíni ""Appreciation"" ni Yorùbá?",Ìmọ-ore,,Ìdúpẹ́,Ìfúnnilówó,Ìmọ̀-ọtá,Kì ènìyàn máa jó,Ọpẹ́ dídá
118,"Kíní yoruba n pè ní ""àkànnàmàgbò""?",option_1,,Ewéko,Òkúta,Òkè,Àwọ̀sanma,Oòrùn
119,"Kíní Yorùbá ọ̀rọ̀ yìí ""cheese""?",option_3,,Ẹ̀fọ́,Ewé,Wàràkàsí,Ògì,Omi
120,"Parí òwe yìí 
 ""Tí ojú bá pón àgàn.......""",option_1,,Ó lè dá àbá àbíkú,Ó lè ṣe ìràwè,Ó lè f'ọmọ ṣe ìràntí,Ó lè fi ọmọ ṣe ọ̀ṣọ́,Ó lè fi ọmọ ṣe oògùn
121,"Kíní Yorùbá ọ̀rọ̀ yìí """"baboon""""?",option_4,,Ọ̀bọ,Ìnàkí,Ẹṣin,Ìlábùrù,Ẹranko igbó
122,"Parí òwe Yorùbá yìí 
 ""Ohun tí n wuni ni n pò lórò eni..........""",option_5,,Ẹyẹ ni n kọ́ ilé nínú omi,Àwọn igi ni n kọrin fún àwọn ẹranko,Ilẹ̀ ni n gbé àwọn ìràwọ̀,Afẹ́fẹ́ ni n kọ́ ilé lórí òkè,"Ológún ẹrú kú, aṣọ ẹ̀ jẹ́ ìkan"
123,Irú Ìyàwó wo ni Yorùbá ń pè ní Ìyàwó àbètélẹ,option_1,,Ìyàwó tí a tọrọ ní áti kékeré,ìyàwó tí ó máa ń gbà owó lọ́wọ́ ọkọ rẹ̀,ìyàwó tí ó máa ń ṣe oúnjẹ fún àwọn ọ̀rẹ́ ọkọ rẹ̀,ìyàwó tí ó máa ń kọrin fún ọkọ rẹ̀ ní alẹ́,ìyàwó tí ó máa ń lọ sí ọjà lójoojúmọ́
124,"Kíni Yorùbá n pè ""Egòn""?",option_2,,Òkúta,Igbó kìjikìji,Àwòrán,Oúnjẹ,Ìwé
125,"Parí òwe Yorùbá yìí 
 ""Ìyà méjì kìí jẹ òkóbó""","tí ò bá lókó, á lóko(farm)",,"tí ò bá lókó, á lóko","tí ò bá lókó, á lórí","tí ò bá lókó, á lómi","tí ò bá lókó, á lókùn","tí ò bá lókó, á lóyé"
126,"Àwọn wo ni Yorùbá n pè ní ""arota""",option_2,,Oníṣẹ́,Ẹrú,Ọmọdé,Ìyàwó,Aláìní
127,"Kíni Yorùbá n pè ní ""Ìkìsà"" ?",option_3,,ọ̀pá ìrìn,aṣọ àlà,Àgbọ̀nrín,ilé ìgbẹ́,ẹyẹ àdàbà
128,"Kíni Yorùbá n pè ní ""àrándùn""?",option_1,,Àsodùn,Ìwòsàn,Àgbọ́nrín,Ìgbàgbọ́,Ìrètí
129,"Kíni Yorùbá n pè ní ""Kokonboju""?",option_3,,Òjò tí a kò lè fi ibi tí ó ti wá mọ̀,Ẹyẹ tí a kò lè fi orin mọ̀,Ilà kíkọ tí a kò lè fi dá ènìyàn mò,Igi tí a kò lè fi èso mọ̀,Omi tí a kò lè fi ìgbà mọ̀
131,"Níbo ní ilẹ̀ yorùbá ní ""adágún odò orí àpáta"" wà?",option_2,,Àárín Ìlọrin,Àdó-Àwàyè,Ìlú Òṣogbo,Ìlú Ìfẹ́,Iléṣà
132,"Kí ni Yorùbá n pe ""Flask""?",option_5,,Ìgò,Ìkòkò afẹ́fẹ́,Àwo omi onírin,Àwo,Ṣágó
134,"Àwọn wo ni Yorùbá n pè ní ""alákàtànpọ̀""",option_3,,Àwọn alárìnká,Àwọn aláròyé,Àwọn tafàtafà,Àwọn akọrin,Àwọn apẹja
135,"Kíni ọ̀rọ̀ Yorùbá fún ""Spinster""?",option_1,,Omidan,Àgbàbírin,Àrèmọbìnrin,Ìyàwó-ìgbà-pípẹ́,Àlejò-ilé
136,"Tí Yorùbá bá pe obìnrin ní ""ajáìdí apèrè"" kí ló túmọ̀ sí?",option_3,,Obìnrin tó ń gbé apẹ̀rẹ̀ lọ sí ọjà,Obìnrin tó ń fi ìdí ṣe iṣẹ́ ìyanu,Obìnrin tó ń ṣèṣekúṣe,Obìnrin tó ní ìdí tó dà bí apẹ̀rẹ̀,Obìnrin tó máa ń kó ohun èlò sínú apẹ̀rẹ̀
137,Kíni ọ̀rọ̀ Yorùbá fún 'Savannah'?,option_1,,Ọ̀dàn,Igbó,Odò,Òkè,Ọjà
138,"Kíni Yorùbá n pè ní ""òkùdù""
 ""wón ní òkùdù tó pa ẹṣin lè pa ènìyàn""",option_2,,Omi odò,Kòtò àgbẹ́kù,Ẹyẹ igbó,Oòrùn ọ̀sán,Oṣùpá alẹ́
139,"Parí òwe Yorùbá yìí 
 ""àgbà tí ó bá fi arúgbó ara kọ ìlú""",option_2,,Àjòjì ni yóò máa gba ilé rẹ̀,Ọ̀mẹ́lẹ́ ni wọ́n máa ń sán kú,Ìyà ni yóò máa jẹ ọmọ rẹ̀,Ìwòfà ni yóò máa gbé ilé rẹ̀,Ìbajè ni yóò máa bàá ilé rẹ̀ jẹ́
140,"Kíní òrò Yorùbá fún ""Camwood""?",option_2,,Àdín,Osùn,Èkuru,Ìròkò,Ègùsì
141,"Kíni Yorùbá n pè ní ""èkùró""?",option_4,,Ọ̀gẹ̀dẹ̀,èso ọ̀pẹ,Igi oṣè,Kòkòrò ẹ̀wà,Iṣu
142,"Kíní ìtumọ̀ ọ̀rọ̀ Yorùbá yìí ""Láì Déèna pẹnu""?",option_2,,ìbànújẹ́,Láì fi òpá pọ̀lọ̀pọlọ pejò (in a nutshell),ìyàlẹ́nu,ìfọ̀kànbalẹ̀,ìwòsí
143,"Yorùbá máa ń pa èdè kan wípé agbe ní n gbé ire pàdé olókun, kínì ""agbe""?",option_1,,Ẹyẹ,Igi,Ọjà,Ìgbà,Ọ̀nà
145,"Kíní orúkọ míràn tí Yorùbá n pe ""kókó inú ìyán""?",option_3,,Ata,Ìṣu,Emọ,Iyọ̀,Omi
146,"Ọmọ aládìye ògògòmògà, ìlú wo ni wọ́n ma n kí oríkì wọn bẹ́ẹ̀?",option_5,,Akúrẹ́,Ẹ̀gbá,Ìlọrin,Òṣogbo,Ìjèbú
147,"Àwọn wo ni Yorùbá n pè ní ""aláàgbédá""?",option_3,,Oníṣòwò,Oníṣègùn,Oníjìbìtì,Oníṣẹ́-oko,Agbẹ́gilére
148,"Kini Yorùbá n pè ní ""Aga""?dodo",Caution sign,,dancing drum,caution sign,singing leaf,burning cloud,running tree
149,"Àlò oooo
 'Ìyá rúgúdú pọ̀nmi sínú, ó wọ̀ ẹ̀wù irin'
 kíni oooo??",option_4,,Àgbàdo,Àdín,Ọ̀pẹ,Èkùrọ́,Ẹ̀wà
150,"Kini Yorùbá n pè ní ""Akéte""?",option_2,,Ọ̀bẹ,Ibùsùn,Aago,Àwòrán,Ìwé
151,Kíni ṣe èyọ̀ túnmọ̀ sí ní èdè Yorùbá?,option_1,,Kí èyàn lọ tọ̀,àwọ̀ pupa,igi gíga,ẹranko kékeré,omi tútù
152,Kíni 'law enforcer' ní Yorùbá,option_3,,Olùṣọ́àgbà,Oníṣẹ́òkúta,Agbófinró,Olùṣọ́ẹ̀yẹ,Ẹniàṣọ́ọ̀fín
153,"Kini òrò Yorùbá yìí túnmọ̀ sí ""Alàdìí fonórù""?",Ilé ti to lọ (time to go home),,Oúnjẹ ti sè tán,Ilé ti to lọ,Òjò ń rò lónìí,Ọmọ náà ń sùn,Ọjà ti ń ṣí
154,Kíni à ń pè ní 'àmù' ní ilé Yorùbá?,option_5,,Ikoko ti won maa n se ewa si,Ikoko ti won maa n da isu si,Ikoko ti won maa n ko owo si.,Ìkòkò tí wọ́n máa ń gún iyán sí,Ikoko ti won maa n bu omi si
155,Ṣàlàyé ọ̀rọ̀ yìí 'ìsákọ̀lè',,,Aṣọ tí wón máa ń fi ṣe àdúrà,Owó tàbí ẹ̀bùn tí ènìyàn máa n fún ní bíi ọ̀pẹ̀,Ewé tí wón máa ń fi ṣe oògùn,Igí tí wón máa ń fi ṣe àga,Ẹja tí wón máa ń fi ṣe ọbẹ̀
156,"Parí òwe yìí
 Ẹni tí ń walẹ̀ ní ń sínkú....",option_1,,"Ẹni ń súkùn, ariwo lasan ni ń pa.","Ẹni tí ń gbẹ́ igi, igi lásán ni ń gé","Ẹni tí ń kọ́ ilé, òkúta lásán ni ń tó","Ẹni tí ń ṣe oúnjẹ, ìyẹ̀fun lásán ni ń lò","Ẹni tí ń ṣiṣẹ́ oko, irúgbìn lásán ni ń gbìn"
157,"Kini itumo oro yoruba yii
 Omi gbigbona kìí jólé",option_4,,Omi gbígbóná kìí mú ijó wá,Omi tó hó kìí kọ́ ilé,Omi tó gbóná kìí gbin oko,"Kòsí bíi nkan bà ṣe lè tó, ó ń bò wá dérò.",Omi tó hó kìí kọ ìwé
158,"Parí òwe Yorùbá yìí ""Ọhun tí ń wuni ni n pò lóro ènìyàn",option_5,,nínú ìwé kíkà rẹ̀,nígbà tí ó di àgbà,látìgbà èwe rẹ̀,nínú àlá rẹ̀,"Ológun ẹrú kú, aṣọ è jẹ́ ìkan"
159,"Kíni ìyàtọ̀ láàrin ""ìlábùrù àti abilà""?",option_2,,"Ìlábùrù - Mountain; 
Àbìlà - River.","Ìlábùrú - Baboon
Àbìlà  - Zebra ","Ìlábùrù - Cloud
Àbìlà - Star","Ìlábùrù - Drum
Àbìlà - Flute","Ìlábùrù - Cloth
Àbìlà - Thread"
160,"Tí 'fast' ba jẹ́ yàrà
 Kíni ọ̀rọ̀ Yorùbá fún 'slow'?",option_3,,Ìrìn,Ìjókòó,Yíyọ́ (yọ́),Ìgbàlẹ́,Ìkọ̀wé
161,"Lo àwọn ọ̀rọ̀ márùn ún yi nínu gbólóhùn kan
 “dárayá, faraya, kíyèésárà, fáramó, fáramó”",option_4,,Ìwà rere ló dára jù,Òtítọ́ máa ń borí èké,Àlàáfíà ilé mi ni mo n fẹ́,"Mo lọ sí eré ìdaŕayá kan, níbití ẹni tó gbàwá lálejò ti faraya, nítorí kò kíyèsara tí ohun tó ṣelè sì ṣeé faramọ́",Ìmọ̀ ni ìmólẹ̀
162,"Parí òwe Yorùbá yìí
 ""apàtẹ̀wọ́ fún wèrè jó.........""",option_3,,bí ẹní n ṣe ìwà ìbàjẹ́,bí ẹní n ṣe àṣejù,òhun àti wèrè ìkan ni wọ́n,.bí ẹní n ṣe àwàdà,bí ẹní n ṣe ìgbéraga
163,"Parí òwe Yorùbá yìí
 ""A kìn pa òdu òyà loju òtá ènìyàn ....""",option_1,,ọmọ elébọ́rọ́ lásán lapa,kí á tó rí àlàáfíà,kí á tó rí ìdàgbàsókè,kí á tó lè jẹ́ àṣeyọrí,kí á tó lè ní ayọ̀
164,"Parí òrọ Yorùbá yìí
 ""Nítorí afójú ní òjò ṣe n kú, nítorí adití ní òjò ṣe n ṣe kíni?",option_4,,jó,rẹ́rìn-ín,sùn,Ṣú,rò
165,Kíni Yorùbá n pè ní 'òbèlè'?,Ọkọ̀ ojú omi (Canoe),,Àṣọ,Ọkọ̀ ojú omi,Àtẹlẹwọ́,Ọ̀nà,Òkuta
166,Kíni òrò Yorùbá fún ẹranko yìí 'potto'?,option_2,,Ẹlẹ́dẹ̀ igbó,Ikì,Àgùnfọn,Ẹkùn,Ẹtu
167,"""Irú ọmọ wo ni Yorùbá n sọ ní 'Ojúólápé'?""",option_4,,Ọmọ ará oko,Ọmọ alárìnkiri,Ọmọ onísẹ́ ọwọ́,Àbígbẹ̀yìn ọmọ,Ọmọ oníṣòwò
168,"Ìdúró ò sí, ìbèrè ò sí f’ẹni tó gbódó mì.
 Irú ènìyàn wo ni a lè pè ní a gbódó mì?",option_3,,Ẹni tó ń ṣe àwàdà,Ẹni tó ń wá ọrọ̀,Ẹni tó wà nínú wàhálà,Ẹni tó ń fi ìfẹ́ hàn,Ẹni tó ń ṣe iṣẹ́ àgbẹ̀
169,"Tí Yorùbá bá sọpé kò sí àbùjá lóòrùn ọpẹ, kíni àbùjá?",option_2,,Aaye ti o ṣofo,Ọ̀nà èbùrú,Igi ti o gbẹ,Iṣẹ́ ti o ṣòro,Ìdààmú ti o pọ̀
170,What's the Yorùbá word for 'Eagle'?,option_5,,Àdàbà,Àkùkọ,Ẹyẹ-àparò,agbe,Idì
171,"Parí òwe yìí 
 ""Didùn ló dùn tí a fi bá òré jèkò......",option_4,,kí a sì rántí ìgbà àtijó,kí a sì rí ayò láìpẹ́,kí a sì gbàgbé ìyà,ti ilé oge tógeé jẹ,kí a sì máa fi ìyìn fún Ọlọ́run
172,Kíni ọ̀rọ̀ Yorùbá fún 'Bribe'?,option_3,,Ẹ̀bùn,Ìfúnni àìtọ́,"Rìbá, Owó ẹ̀yìn, Ṣọwọ́ kúdúrú, Ẹ̀gúnjẹ",Ìfúnni,Ìbùkún
173,Irú òunje wo ni Yorùbá n pè ní 'ọ̀jọ̀jọ̀' kíní òun pàtó tí wọn fi n ṣe?,option_5,,"Oúnjẹ ilẹ̀ Yorùbá, Eran ewure ni a fi n se","Oúnjẹ ilẹ̀ Yorùbá, Agbado tutu ni a fi n se","Oúnjẹ ilẹ̀ Yorùbá, Iresi ni a fi n se","Oúnjẹ ilẹ̀ Yorùbá, Ewa pupa ni a fi n se","Oúnjẹ ilẹ̀ Yorùbá, Isu ewura ni a fi n se"
174,"Parí òwe Yorùbá yìí
 'Ẹmó kù ojú ọpò dí ....'",option_2,,"bí igi bá wó, àwọn ẹyẹ á fò lọ","bí àfẹ̀rẹ̀bòjò bá kú, ẹnu isà á ṣòfo","bí ẹjà bá gbẹ, àwọn ènìyàn á ṣàárò","bí òjò bá rọ̀, ilẹ̀ á tutù","bí ilẹ̀ bá gbẹ, ewé á rọ"
175,Kíni àwọn Yorùbá n pè ní “kolokóló”?,option_2,,Ohun tí a máa ń fi sí ẹsẹ̀ ẹṣin bíi irin,Ohun tí a máa ń fi sí ọrùn ajá bíi ṣaworo,Ohun tí a máa ń fi sí orí ọmọdé bíi ìlẹ̀kẹ̀,hun tí a máa ń fi sí ìdí agbọ̀n bíi okùn,
176,Yorùbá bò wọ́n ní 'lálá tó ròkè ìlè lón bò' kíní 'lala'?,option_4,,Èwà,Iyọ̀,Ọ̀gẹ̀dẹ̀,Ilá,Àkàrà
177,Kíni ọ̀rọ̀ Yorùbá fún 'Guinea-worm'?,option_1,,Sòbìyà,Àrùn-ìgbóná,Òjò-ẹjẹ̀,Ìtàn-ẹran,Irú-ẹran
178,Kíni ọ̀rọ̀ Yorùbá fún 'Lungs'?,option_2,,Èékánná,Fùkù,Ìdí,Eérú,Ìyàwó
179,Àwọn wo ní Yorùbá ń pè ní 'adídàgìrì'?,option_4,,Wanderer,Storyteller,Gossiper,Alarmist,Critic
180,Kíni àkólé orúkọ ọba ìlú Ọndó?,option_5,,Ìyálóde,Bọ́lájí,Ọba,Balógun,Òṣemàwé
182,"Òwe Yorùbá kan ní Ijapa wọnú orù, ó ku àtiyọ 
 Kíni Yorùbá n pè ní 'orù'?",option_1,,Ìkòkò,Àpótí,Ìgò,Àgọ́,Àwo
183,"Kíni Yorùbá n pè èranko yìí ""Skink""?",option_4,,Ìjàpá,Ọ̀bọ,Ẹkùn,Aláyùnbẹ́rẹ́,Àdán
184,Kíni Yorùbá n pè ní 'ìrèmòjé'?,option_5,,Orin tí a máa fi ń dárò olùkọ́,Orin tí a máa fi ń dárò àgbẹ̀,Orin tí a máa fi ń dárò ọmọdé,Orin tí a máa fi ń dárò ọlọ́jà,Orin tí a máa fi ń dárò ọdẹ
185,"Lo àwọn ọ̀rọ̀ márùn yìí nínu gbólóhùn kan
 ""Fiséyìn, fiséyìn, fèýinti, èyìnodi, owó èyin.""",,,,,,,
186,"Parí òwe Yorùbá yìí
 ""mà fi oko mi dà ònà.......""",option_3,,kí ẹranko má bàá rìn,kí ilẹ̀ má bàá gbẹ,Ọjọ́ kan là á ko,kí òjò má bàá rọ̀,kí igi má bàá dàgbà
187,"Kíni òrò yorùbá fún ""Century""?",option_1,,Ọrúndún,Àwọn-ọdún,Ìgbà-àádọ́ta,Ìrọ́dún,Àdọ́ta-ọdún
188,"Kini ìtumò òrò Yorùbá yìí ""isọgbè""?",option_3,,Asọ̀rọ̀dùn,Olùtọ́jú,Aláàbárìn,Agbẹjọ́rò,Alágbàwí
189,"Parí òwe Yorùbá yìí
 ""Bi owó eku bá ṣe mó ..... """,option_2,,ọjà a di idàrúdàpọ̀,ló ṣe máa fi họra,ọgbà á di ahoro,aṣọ á di ẹlẹ́gbin,ọmọ á di aláìgbọràn
190,Kíni òrọ yorùbá fún 'Bomb'?,option_1,,Àdó-olóró,Ìjàǹbá,Ìparun,Ìdàrúdàpọ̀,Ìbẹ̀rù
191,"Tí àkùkò bá jẹ́ 'cock' tí àdìyẹ jẹ́ 'chicken', kíni 'chick' Ní Yorùbá?",option_5,,Ẹyẹ-wẹ́wẹ́,Ọmọwẹ́wẹ́,Ọmọfunfun,Ọmọ-ẹyẹ,Òròmadìye
192,"Parí òwe yìí: 
 'Àgbàtán là ń gba òlé, bí a dáso fún òlé à pa láro...'","Bí a bá la ọ̀le níjà, àá sín délé",,"bí a bá la ọ̀le níjà, àá sín délé",a gbé sínú omi,a fi ṣe aṣọ̀,a fi kọ́lé,a di òkúta
193,"Parí òwe yìí:
 'àgbà tó fi arúgbó ara kó ìlù....'",Omele ni wọ́n máa ń sán kú,,Àjòjì ni yóò máa gba ilé rẹ̀,Ọ̀mẹ́lẹ́ ni wọ́n máa ń sán kú,Ìyà ni yóò máa jẹ ọmọ rẹ̀,Ìwòfà ni yóò máa gbé ilé rẹ̀,Ìbajè ni yóò máa bàá ilé rẹ̀ jẹ́
194,"Kíni òrò Yorùbá fún ""pilfering""?",option_3,,Ìyàsọ́tọ̀,Ìgbàgbé,Àfọ́wọ́rá/Fẹ́wọ́,Ìrìnkiri,Ìyípadà
195,"Kíni Yorùbá n pè èranko yìí ""tree hyrax""?",option_5,,Ẹkùn-igi,Ọ̀bọ,Ẹfọ̀n,Adán-igi,Ọ̀fàfà
196,Kíni Yorùbá pè ní èbìrìpò?,Oúnje ilẹ̀ Yorùbá,,Oúnje,Àṣọ,Ohun èlò,Èso,Ìyẹ̀fun
197,"Parí òwe yìí
 ""Dátóró dàtòrò dátóró""",option_2,,níí mú ìjà wá,"Àgbà tí ò bá dátọ́rọ́, omi ọbè láá mu",kò mú èrè wá,.ń ṣe ìpalára fún ara rẹ̀,kò mú ayọ̀ wá
198,"Parí òwe yìí
 ""akíì Fura sí ẹni à ń bá rìn""",option_4,,nígbà tí ó di ọ̀tá,títí a ó fi ṣe àṣìṣe,kí a tó rí ìwà rẹ̀,ẹni a fura sí ló gba ká yẹra,kí a tó rí ìdí rẹ̀
199,"Kíni Yorùbá n pè
 ""animal shell""?",option_5,,Ìrànwọ́,Ìbòrí,Ìtọ́jú,Ìkàwé,Ìkarahun
200,Àwọn wo ni Yorùbá ń pè ní Agbefọba,Agbófinró,,olùkọ́,onísẹ̀gùn,agbófinró,akọrin,ayàwòrán
201,"Parí òwe yìí.""
 ""àìsàn là ń wò......",option_2,,kí a má baà kú,ẹnìkan ò rí tọlọ́jọ́ ṣe,kí ara lè yá,kí a lè ṣiṣẹ́,kí a lè jẹun
202,Parí òwe yìí 'ẹjọ́ a fẹnì lóbinrin là ńwí...',option_3,,kí a má baà rí ìbínú,kí a má baà rí ìjà,A kìí wíjọ́ afẹ́nilọ́mọ,kí a lè rí àlàáfíà,kí a lè rí ìlera
203,Kíni ìtumò òrò Yorùbá yìí: 'Èkó èlèkò ní ègbà èlégbà?',option_2,,"Ǹkan tí o bá sọ, ènìyàn lè gbà á","Ǹkan tí ìwọ bá kọ́, ẹlòmíràn lè gbàá","Ǹkan tí o bá ṣe, ènìyàn lè gbà á","Ǹkan tí o bá rò, ènìyàn lè gbà á","Ǹkan tí o bá kọ, ènìyàn lè gbà á"
204,Parí òwe yìí 'ti aáyán bá sí ìjọ́ jó...',option_3,,ọ̀pọ̀lọpọ̀ ìṣòro yóò wáyé,gbogbo ènìyàn yóò sá,Ó máa farakásá adìyẹ,ìdàrúdàpọ̀ yóò dé,ìpayà yóò kún ibẹ̀
205,Tí Yorùbá bá fi ènìyàn wé 'eye Ìbáká' irú ènìyàn wo ni ènìyàn náà jẹ?,option_1,,Elẹ́jọ́wẹ́wẹ́,Oníṣekúṣe,Aláìgbọ́ràn,Oníwàburúkú,Aṣiwèrè
207,"Atulé má dè yìn, ní túlé kan aáyán funfun.
 Kí ni Yorùbá n pè ní ""aáyán funfun""?",option_4,,Òkú aáyán,Òkú ẹran,Òkú òru,Òku ẹ̣̀nìyàn,Òkú òkúta
208,Kíni 'music album' ni Yoruba?,option_5,,Ẹ̀ka Orin,Ìwé Orin,Ilé Orin,Àpótí orin,Àwo orin
209,"Pari Òwe yìí: Akòtàgìrì ẹjọ, àgbà tí ó rí ẹjọ tí kò sá,..........",option_1,,Ara ikù ló ń ya,àwọn àlejò l'o n wá,o n pe wahala wá,o n se àṣìṣe nlá,o n wa àwàdà
210,"Kíni Yorùbá n pè ní ""Fence""?",option_5,,Ìdàbòbò-ilé,ààlà,ọ̀nà,Ààbò,Odi
211,Iru Àwọn wo ni a ma n pè tàbí sọ ní 'máàlà olú'?,option_1,,Àwọn Ọlọ́bàtálá,Àwọn Ọlọ́ṣun,Àwọn Ọlọ́fín,Olódùmarè,Àwọn ọmọdé
212,"Igbó ọ̀rà jẹ́ ìlú tí wọ́n ti ń bí ìbejì jùlọ ní gbogbo àgbáyé
 'kíni àkòrí orúkọ ọba ìlú igbó ọ̀rà'",option_5,,Adé,Ọba,Ìmọ̀,,Olú
213,Kíni àkólé ọba ìlú Ìbàdàn?,Olúbàdàn ti ìlú Ìbàdàn,,Ṣẹ́gunadé,Olúyọ̀lé,Òṣemàwé,Olúbàdàn,Adéṣinà
214,Tani Yorùbá gbàgbó pé ó jẹ̀ bàbá Yorùbá?,option_2,,Ọ̀ṣun,Odùduwà,Àgbọ́nmìrégún,Ọ̀rànmíyàn,Ṣàngó
215,Fi àmín sí orọ̀ yìí “Aimoore”,option_4,,Àímọ́ọ̀rẹ́,Aimọ̀ọ́rẹ,Àímọ́òrè,Àìmoore,Aìmòòrè
216,"Kíni ""Airport"" ní Yorùbá?",option_1,,Pápákò òfurufú,Ilé Ìjókòó Òfurufú,Ibi Ìdúró Ọkọ̀ Òfurufú,Ọjà òfurufú,Ibi-ìsinmi òfurufú
217,"Kíni ""Air Conditioner"" ní Yorùbá?",option_3,,Afẹ́fẹ́ Ìtùnú,Ẹ̀rọ Ìtura,Ẹ̀rọ Amúlétutù,Ẹ̀rọ Afẹ́fẹ́,Afẹ́fẹ́ Ìtura
