S/N,Question,Answer,Unnamed: 3,option_1,option_2,option_3,option_4,option_5,GPT4o_Answer,GPT_Match,Score (%)
89,"Kíni iyatọ láàrin ""èsìn àti àṣà""?","Àṣà (Ìṣe)
 Ẹ̀sìn(Ọ̀nà láti bọ Elédùmarè)",,Àṣà (Ìbáṣepọ̀) – Èsìn (Ọ̀nà láti tọ́jú ayé),Àṣà (Ìtàn) – Èsìn (Ọ̀nà láti fọwọ́ kàn ìmọ̀),Àṣà (Ìṣe) - Ẹ̀sìn(Ọ̀nà láti bọ Elédùmarè),Àṣà (Ìfẹ́) – Èsìn (Ọ̀nà láti gbé ìjọsìn),Àṣà (Ìṣe) – Èsìn (Ọ̀nà láti gbàdúrà),option_3,0,20.208333333333332
90,"Parí òwe yìí 
 Tí a kò bá rí owó rà ẹrù...",option_3,,A pé oúnjẹ ènì lórúko,A pé ọkọ ènì lórúko,Aó sọ ẹran ẹni lórúko,A pé ọ̀rẹ́ ènì lórúko,A pé ọdẹ ènì lórúko,option_4,0,20.208333333333332
91,"Kíni Yorùbá n pè ní ""Experience""?",option_4,,Ìrántí,Ìfọ̀rọ̀wánilẹ́nuwò,Ìfihàn,Ìrírí,Ìròyìn,"i'm sorry, but i need additional context about the question to accurately determine and choose the correct option",0,20.208333333333332
92,"Kíni Yorùbá n pè ní ""Bachelor""?",option_2,,Àìmoore,Àpọ̀n,Olófòfó,Aláìfarapa,Olùkalúkú,option_3,0,20.208333333333332
95,"""Kíni ọ̀rọ̀ Yorùbá fún 'Corncob'?""",option_1,,Fùkù,Ìgbín,Àgbàdó,Ewé,Ìgbó,option_2,0,20.208333333333332
96,Kíni Àwọn yorùbá n pè ní òṣìbàtà?,option_5,,Ewé ẹsẹ̀ omi,Ewé ẹ̀ka omi,Ewé òrùlé omi,Ewé ọ̀fun omi,Ewé orí omi,option_5,1,20.208333333333332
97,"Lò àwọn ọ̀rọ̀ márùn yìí nínú gbólóhùn kan 
 ""patú, panumó, pààrò, pámóra, pa ohun dà""",option_2,,Patú panumó pààrò pámóra pa ohun dà,"Arábìnrin náà patú, o sì panumọ́, ó pààrọ̀ aṣọ, ó pámọ́ra, kòsì pa ohùn dà",Pààrò patú pámóra panumó pa ohun dà,Patú. Patú panumó. Patú pààrò. Patú pámóra. Patú pa ohun dà,Panumó. Panumó patú. Panumó pààrò. Panumó pámóra. Panumó pa ohun dà,option_2,1,20.208333333333332
98,Kíni ìyàtọ̀ láàrin jígí àti dígí?,option_2,,"Jígí – (A small musical instrument)
Dígí – (A large container used for cooking)","jígí(eye glass)
 dígí(mirror)","Jígí – (A basket used for storing fruits)
Dígí – (A mat used for sleeping on the floor)","Jígí – (A shield used in battle)
Dígí – (A staff used for walking)","Jígí – (A small knife used for carving)
Dígí – (A large drum used for ceremonies)",option_3,0,20.208333333333332
99,"Kíni ìtumọ̀ àkànlò-èdè yìí ""Sòròṣágbòn""",option_2,,Kí èyàn gbé orin fún Olófòófó,Kí èyàn sòrò fún Olófòófó,Kí èyàn kọ̀wé fún Olófòófó,Kí èyàn fọwọ́ kàn fún Olófòófó,Kí èyàn kó ìmọ̀ jọ fún Olófòófó,option_2,1,20.208333333333332
100,"Kíni ọ̀rọ̀ Yorùbá fún ""circle""?",option_2,,Sáré,Òbìrìkìtí,Yíyí,Omi,Ilé ayé,"i'm sorry, but the question seems incomplete or unclear as it doesn't provide enough context to determine which option is correct. could you please provide more details or clarify the question?",0,20.208333333333332
101,"Àwọn wo ni Yorùbá n pè ní ""Ìwẹ̀fà""?",option_4,,Àwọn tí wọ́n wà ní ọgbà ọba tí wọ́n ń ṣètò ayẹyẹ,wọn tí wọ́n wà ní ilé-ìjọba tí wọ́n ń darí ìṣèlú,ọn tí wọ́n wà ní àgbàlá olóyè tí wọ́n ń fọwọ́sowọ́pọ̀,Àwọn tí wọ́n wà ní àgbàlá ọba tí wọ́n ń tọ́jú àwọn ayaba láyé àtijọ́,Àwọn tí wọ́n wà ní ọgbà ìmọ̀ tí wọ́n ń kó ìmọ̀ jọ,àwọn tí wọ́n wà ní àgbàlá ọba tí wọ́n ń tọ́jú àwọn ayaba láyé àtijọ́,0,20.208333333333332
102,"Kíni Yorùbá n pè ní ""Ìdàndá?","Mirage
 Ohun tí a ń wó ní ọ̀ọ́kán, tí kìí ṣe òhun",,"Ohun tí a ń rí ní ojú ọ̀run, tí kìí ṣe òòrùn.","Mirage
Ohun tí a ń wó ní ọ̀ọ́kán, tí kìí ṣe òhun","Òjìji
Ohun tí a ń rí lẹ́yìn ohun kan, tí kìí ṣe ohun náà gangan","Àwòrán
Ohun tí a ń rí ní ara ògiri, tí kìí ṣe ohun tó wà níbẹ̀","Èéfín
Ohun tí a ń rí níbi iná, tí kìí ṣe iná náà gangan.",option_3,0,20.208333333333332
103,"Kíni Yorùbá n pè ní ""transmitter""?",option_1,,Alátagbà,Atanná,Ilé àwọn ẹyẹ,Àgbàrá afẹ́fẹ́,Àwòrán ojú ọ̀run,option_5,0,20.208333333333332
104,"Kíni Yorùbá n pè ní ""valley""?",option_3,,Àgbàlá òkè,Ìsàlẹ̀ òkè,Àfonífojì,Omi òkè,Ọ̀dẹ̀dẹ̀ òkè,option_3,1,20.208333333333332
105,"Parí ọ̀wẹ Yorùbá yìí 
 ""àràkún láṣọ̀ Gbági ..........""",option_5,,ó ń jẹ búrẹ́dì,ó ń ka ìwé,ó ń gun kẹ̀kẹ́,ó ń wo tẹlifíṣọ̀n,aṣọ làáwọ̀ lọ raṣọ,option_5,1,20.208333333333332
106,"Níbo ní ilẹ̀ Yorùbá ní ""igbó elẹ́dùmarè"" wà?",option_4,,Ìpínlẹ̀ Ogun,Ìpínlẹ̀ Èkìtì,Ìpínlẹ̀ Oǹdó(Òkè Àtijọ́),Ìpínlẹ̀ Oǹdó(Òkè Igbó),Ìpínlẹ̀ Ògùn,option_3,0,20.208333333333332
107,"Kíní ìtumọ̀ ọ̀rọ̀ yorùbá yìí ""làìdẹ́ìnà pẹnu""?",Láì fi ọ̀pá pọ̀lọ̀pọlọ pejò (in a nutshell),,Láì fi àṣọ bo ojú,Láì fi ọ̀pá pọ̀lọ̀pọlọ pejò ,Láì fi omi wẹ ẹnu,Láì fi iyẹ bo ẹnu,Láì fi ewe bo ẹnu,option_3,0,20.208333333333332
109,kíni ìyàtọ̀ láàárin Adélébò àti Abilékọ?,option_2,,Adélébò: Obìnrin tó ti kọ́kọ́ nífẹ̀ẹ́; Abilékọ: Obìnrin tí ń ṣètò ìdílé,"Adélébọ̀: Obìrin tó ti lọ́kọ rí
Abíléko: Obìrin tó wà nílé ọkọ",Adélébò: Obìnrin tó ti mọ ìtàn; Abilékọ: Obìnrin tí ń darí ìbáṣepọ̀,Adélébò: Obìnrin tó ti fi ọ̀rẹ́ hàn; Abilékọ: Obìnrin tí ń tọ́jú ọmọ,Adélébò: Obìnrin tó ti ní ìdílé; Abilékọ: Obìnrin tí ń ṣètò àwọn nǹkan,option_5,0,20.208333333333332
110,"Ọ̀rẹ́ ńjẹ́ ọ̀rẹ́, ọ̀rà ńjẹ́ ọ̀rà, 
 ẹnikan kìí dúpẹ́ lọ́wọ́ mọ ta ọ̀pọ̀ 
 Kí ni iyato to wa láàrín ọ̀rẹ́ àti ọ̀rà?",option_5,,"Ọ̀rẹ́ (Ohun tí kò ní iye) 
Ọ̀rà (Ohun tí a gbà ní báǹkì)","Ọ̀rẹ́ (Ohun tí a fi ìfẹ́ ṣe) 
Ọ̀rà (Ohun tí a fi ojú ṣe)","Ọ̀rẹ́ (Ohun tí a fi àǹfààní ṣe)  
Ọ̀rà (Ohun tí a mú nílẹ̀)","Ọ̀rẹ́ (Ohun tí a gbà lọ́fẹ̀ẹ́) 
Ọ̀rà (Ohun tí a ta ní ọ̀pọ̀)","Ọrẹ(Ohun tí a fún ni ọ̀fẹ́)
 Ọrà(Ohun tí a fowó rà)",ọrẹ(ohun tí a fún ni ọ̀fẹ́) ọrà(ohun tí a fowó rà),0,20.208333333333332
111,"Parí òwe Yorùbá yìí, 
 Aṣòróójà bí ìjà ọjà, onítìjú òní sá.........",option_4,,Ẹni tí ń wòran kò ní lọ,Ẹni tí à ń retí kò ní dé,Ẹni tí a ń pè kò ní dáhùn,Ẹni tí wọ́n ń nà ò ní dáwó dúró,Ẹni tí ń ṣiṣẹ́ kò ní sinmi,ẹni tí à ń retí kò ní dé,0,20.208333333333332
112,"Parí òwe yì: 
 Ebí ń pamí olóṣè ń kiri.....",option_2,,Àwọn tí wọ́n ń ta ẹ̀p̣o,Àwọn tí wọ́n ń ta iyanrì(sand),Àwọn tí wọ́n ń ta ẹ̀fọ́,Àwọn tí wọ́n ń ta ìròyìn,Àwọn tí wọ́n ń ta aṣọ,àwọn tí wọ́n ń ta ìròyìn,0,20.208333333333332
113,A kii moogun moote...,option_1,,Kí iṣu ewùrà má lémọ,Kí ajá má rí ekùn,Kí òjò má rọ̀ sínú omi,Kí igi má só esó òkutà,Kí òkùnrin má bí òbìnrin,option_4,0,20.208333333333332
114,"Kíni Yorùbá n pè ""Empowerment""?",option_1,,Ìrónilágbára,Ìfarapa,Ìfúnnilówó,Ìtọ́nisọ́nà,Ríra ohun èlò fún ni,option_3,0,20.208333333333332
115,"Kíni ""Misconception"" ni Yorùbá?",option_2,,Àsìrí,Àṣìrò,Àsìyàn,Èrò irọ́,Ìṣírò,option_5,0,20.208333333333332
116,"Kíni ""Creative"" ni Yorùbá?",option_1,,Àtínúdá,Àtẹnujẹ,Àtínùwà,Wíwà láyé,Ṣíṣe íṣé,option_3,0,20.208333333333332
117,"Kíni ""Appreciation"" ni Yorùbá?",Ìmọ-ore,,Ìdúpẹ́,Ìfúnnilówó,Ìmọ̀-ọtá,Kì ènìyàn máa jó,Ọpẹ́ dídá,option_2,0,20.208333333333332
118,"Kíní yoruba n pè ní ""àkànnàmàgbò""?",option_1,,Ewéko,Òkúta,Òkè,Àwọ̀sanma,Oòrùn,option_4,0,20.208333333333332
119,"Kíní Yorùbá ọ̀rọ̀ yìí ""cheese""?",option_3,,Ẹ̀fọ́,Ewé,Wàràkàsí,Ògì,Omi,option_3,1,20.208333333333332
120,"Parí òwe yìí 
 ""Tí ojú bá pón àgàn.......""",option_1,,Ó lè dá àbá àbíkú,Ó lè ṣe ìràwè,Ó lè f'ọmọ ṣe ìràntí,Ó lè fi ọmọ ṣe ọ̀ṣọ́,Ó lè fi ọmọ ṣe oògùn,option_5,0,20.208333333333332
121,"Kíní Yorùbá ọ̀rọ̀ yìí """"baboon""""?",option_4,,Ọ̀bọ,Ìnàkí,Ẹṣin,Ìlábùrù,Ẹranko igbó,option_3,0,20.208333333333332
122,"Parí òwe Yorùbá yìí 
 ""Ohun tí n wuni ni n pò lórò eni..........""",option_5,,Ẹyẹ ni n kọ́ ilé nínú omi,Àwọn igi ni n kọrin fún àwọn ẹranko,Ilẹ̀ ni n gbé àwọn ìràwọ̀,Afẹ́fẹ́ ni n kọ́ ilé lórí òkè,"Ológún ẹrú kú, aṣọ ẹ̀ jẹ́ ìkan",option_4,0,20.208333333333332
123,Irú Ìyàwó wo ni Yorùbá ń pè ní Ìyàwó àbètélẹ,option_1,,Ìyàwó tí a tọrọ ní áti kékeré,ìyàwó tí ó máa ń gbà owó lọ́wọ́ ọkọ rẹ̀,ìyàwó tí ó máa ń ṣe oúnjẹ fún àwọn ọ̀rẹ́ ọkọ rẹ̀,ìyàwó tí ó máa ń kọrin fún ọkọ rẹ̀ ní alẹ́,ìyàwó tí ó máa ń lọ sí ọjà lójoojúmọ́,option_1,1,20.208333333333332
124,"Kíni Yorùbá n pè ""Egòn""?",option_2,,Òkúta,Igbó kìjikìji,Àwòrán,Oúnjẹ,Ìwé,please provide the specific question you would like me to analyze and answer,0,20.208333333333332
125,"Parí òwe Yorùbá yìí 
 ""Ìyà méjì kìí jẹ òkóbó""","tí ò bá lókó, á lóko(farm)",,"tí ò bá lókó, á lóko","tí ò bá lókó, á lórí","tí ò bá lókó, á lómi","tí ò bá lókó, á lókùn","tí ò bá lókó, á lóyé",option_5,0,20.208333333333332
126,"Àwọn wo ni Yorùbá n pè ní ""arota""",option_2,,Oníṣẹ́,Ẹrú,Ọmọdé,Ìyàwó,Aláìní,option_3,0,20.208333333333332
127,"Kíni Yorùbá n pè ní ""Ìkìsà"" ?",option_3,,ọ̀pá ìrìn,aṣọ àlà,Àgbọ̀nrín,ilé ìgbẹ́,ẹyẹ àdàbà,option_3,1,20.208333333333332
128,"Kíni Yorùbá n pè ní ""àrándùn""?",option_1,,Àsodùn,Ìwòsàn,Àgbọ́nrín,Ìgbàgbọ́,Ìrètí,"i'm sorry, but your request seems to be incomplete or lacks the necessary context to determine the correct answer. could you please provide more information or context about the question you're referring to?",0,20.208333333333332
129,"Kíni Yorùbá n pè ní ""Kokonboju""?",option_3,,Òjò tí a kò lè fi ibi tí ó ti wá mọ̀,Ẹyẹ tí a kò lè fi orin mọ̀,Ilà kíkọ tí a kò lè fi dá ènìyàn mò,Igi tí a kò lè fi èso mọ̀,Omi tí a kò lè fi ìgbà mọ̀,option_5,0,20.208333333333332
131,"Níbo ní ilẹ̀ yorùbá ní ""adágún odò orí àpáta"" wà?",option_2,,Àárín Ìlọrin,Àdó-Àwàyè,Ìlú Òṣogbo,Ìlú Ìfẹ́,Iléṣà,please provide the question you would like me to analyze so that i can determine the best answer from the given options,0,20.208333333333332
132,"Kí ni Yorùbá n pe ""Flask""?",option_5,,Ìgò,Ìkòkò afẹ́fẹ́,Àwo omi onírin,Àwo,Ṣágó,option_2,0,20.208333333333332
134,"Àwọn wo ni Yorùbá n pè ní ""alákàtànpọ̀""",option_3,,Àwọn alárìnká,Àwọn aláròyé,Àwọn tafàtafà,Àwọn akọrin,Àwọn apẹja,"i'm sorry, but i need more context about the question you're referring to in order to provide the best answer. could you please clarify or provide the question?",0,20.208333333333332
135,"Kíni ọ̀rọ̀ Yorùbá fún ""Spinster""?",option_1,,Omidan,Àgbàbírin,Àrèmọbìnrin,Ìyàwó-ìgbà-pípẹ́,Àlejò-ilé,option_2,0,20.208333333333332
136,"Tí Yorùbá bá pe obìnrin ní ""ajáìdí apèrè"" kí ló túmọ̀ sí?",option_3,,Obìnrin tó ń gbé apẹ̀rẹ̀ lọ sí ọjà,Obìnrin tó ń fi ìdí ṣe iṣẹ́ ìyanu,Obìnrin tó ń ṣèṣekúṣe,Obìnrin tó ní ìdí tó dà bí apẹ̀rẹ̀,Obìnrin tó máa ń kó ohun èlò sínú apẹ̀rẹ̀,option_4,0,20.208333333333332
137,Kíni ọ̀rọ̀ Yorùbá fún 'Savannah'?,option_1,,Ọ̀dàn,Igbó,Odò,Òkè,Ọjà,"i'm sorry, but i need the specific question to determine the correct option",0,20.208333333333332
138,"Kíni Yorùbá n pè ní ""òkùdù""
 ""wón ní òkùdù tó pa ẹṣin lè pa ènìyàn""",option_2,,Omi odò,Kòtò àgbẹ́kù,Ẹyẹ igbó,Oòrùn ọ̀sán,Oṣùpá alẹ́,"i'm sorry, but i need the specific question to provide the correct option. could you please provide more context or details regarding the question?",0,20.208333333333332
139,"Parí òwe Yorùbá yìí 
 ""àgbà tí ó bá fi arúgbó ara kọ ìlú""",option_2,,Àjòjì ni yóò máa gba ilé rẹ̀,Ọ̀mẹ́lẹ́ ni wọ́n máa ń sán kú,Ìyà ni yóò máa jẹ ọmọ rẹ̀,Ìwòfà ni yóò máa gbé ilé rẹ̀,Ìbajè ni yóò máa bàá ilé rẹ̀ jẹ́,option_4,0,20.208333333333332
140,"Kíní òrò Yorùbá fún ""Camwood""?",option_2,,Àdín,Osùn,Èkuru,Ìròkò,Ègùsì,the question seems incomplete since it does not specify what you should be selecting. please provide more context or detail for me to determine the correct option,0,20.208333333333332
141,"Kíni Yorùbá n pè ní ""èkùró""?",option_4,,Ọ̀gẹ̀dẹ̀,èso ọ̀pẹ,Igi oṣè,Kòkòrò ẹ̀wà,Iṣu,"please provide the specific question you would like analyzed, and then i can determine the best answer for you",0,20.208333333333332
142,"Kíní ìtumọ̀ ọ̀rọ̀ Yorùbá yìí ""Láì Déèna pẹnu""?",option_2,,ìbànújẹ́,Láì fi òpá pọ̀lọ̀pọlọ pejò (in a nutshell),ìyàlẹ́nu,ìfọ̀kànbalẹ̀,ìwòsí,option_2,1,20.208333333333332
143,"Yorùbá máa ń pa èdè kan wípé agbe ní n gbé ire pàdé olókun, kínì ""agbe""?",option_1,,Ẹyẹ,Igi,Ọjà,Ìgbà,Ọ̀nà,ìgbà,0,20.208333333333332
145,"Kíní orúkọ míràn tí Yorùbá n pe ""kókó inú ìyán""?",option_3,,Ata,Ìṣu,Emọ,Iyọ̀,Omi,"to provide the most accurate answer, i would need the specific question being asked. please provide further context or the actual question so i can determine the correct option",0,20.208333333333332
146,"Ọmọ aládìye ògògòmògà, ìlú wo ni wọ́n ma n kí oríkì wọn bẹ́ẹ̀?",option_5,,Akúrẹ́,Ẹ̀gbá,Ìlọrin,Òṣogbo,Ìjèbú,"i'm sorry, but you have not provided the actual question for analysis. could you please provide the complete question or context for me to determine the correct option among those listed?",0,20.208333333333332
147,"Àwọn wo ni Yorùbá n pè ní ""aláàgbédá""?",option_3,,Oníṣòwò,Oníṣègùn,Oníjìbìtì,Oníṣẹ́-oko,Agbẹ́gilére,"i'm sorry, but your question is incomplete. could you please provide the full question so i can determine the correct answer for you?",0,20.208333333333332
148,"Kini Yorùbá n pè ní ""Aga""?dodo",Caution sign,,dancing drum,caution sign,singing leaf,burning cloud,running tree,"the options provided do not seem to directly relate to any specific concept or term in the yoruba language that is commonly known. without additional context or specific cultural references that align with traditional or contemporary yoruba concepts, it is not possible to accurately determine one correct option based solely on these phrases. if one of these phrases has a specific meaning or reference in the yoruba language or culture, more context would be needed to provide an accurate analysis. please provide more context or details if available",0,20.208333333333332
149,"Àlò oooo
 'Ìyá rúgúdú pọ̀nmi sínú, ó wọ̀ ẹ̀wù irin'
 kíni oooo??",option_4,,Àgbàdo,Àdín,Ọ̀pẹ,Èkùrọ́,Ẹ̀wà,"i am sorry, the prompt does not provide enough context to determine the correct option. please provide additional context or a specific question related to the options given",0,20.208333333333332
150,"Kini Yorùbá n pè ní ""Akéte""?",option_2,,Ọ̀bẹ,Ibùsùn,Aago,Àwòrán,Ìwé,"sorry, i need the actual question to determine the best answer. could you please provide the question?",0,20.208333333333332
151,Kíni ṣe èyọ̀ túnmọ̀ sí ní èdè Yorùbá?,option_1,,Kí èyàn lọ tọ̀,àwọ̀ pupa,igi gíga,ẹranko kékeré,omi tútù,"i'm sorry, i don't have enough context to determine which option accurately answers the question, as the question seems to be missing. could you please provide more details or clarify the question?",0,20.208333333333332
152,Kíni 'law enforcer' ní Yorùbá,option_3,,Olùṣọ́àgbà,Oníṣẹ́òkúta,Agbófinró,Olùṣọ́ẹ̀yẹ,Ẹniàṣọ́ọ̀fín,option_5,0,20.208333333333332
153,"Kini òrò Yorùbá yìí túnmọ̀ sí ""Alàdìí fonórù""?",Ilé ti to lọ (time to go home),,Oúnjẹ ti sè tán,Ilé ti to lọ,Òjò ń rò lónìí,Ọmọ náà ń sùn,Ọjà ti ń ṣí,option_3,0,20.208333333333332
154,Kíni à ń pè ní 'àmù' ní ilé Yorùbá?,option_5,,Ikoko ti won maa n se ewa si,Ikoko ti won maa n da isu si,Ikoko ti won maa n ko owo si.,Ìkòkò tí wọ́n máa ń gún iyán sí,Ikoko ti won maa n bu omi si,option_3,0,20.208333333333332
155,Ṣàlàyé ọ̀rọ̀ yìí 'ìsákọ̀lè',,,Aṣọ tí wón máa ń fi ṣe àdúrà,Owó tàbí ẹ̀bùn tí ènìyàn máa n fún ní bíi ọ̀pẹ̀,Ewé tí wón máa ń fi ṣe oògùn,Igí tí wón máa ń fi ṣe àga,Ẹja tí wón máa ń fi ṣe ọbẹ̀,option_2,0,20.208333333333332
156,"Parí òwe yìí
 Ẹni tí ń walẹ̀ ní ń sínkú....",option_1,,"Ẹni ń súkùn, ariwo lasan ni ń pa.","Ẹni tí ń gbẹ́ igi, igi lásán ni ń gé","Ẹni tí ń kọ́ ilé, òkúta lásán ni ń tó","Ẹni tí ń ṣe oúnjẹ, ìyẹ̀fun lásán ni ń lò","Ẹni tí ń ṣiṣẹ́ oko, irúgbìn lásán ni ń gbìn",option_1,1,20.208333333333332
157,"Kini itumo oro yoruba yii
 Omi gbigbona kìí jólé",option_4,,Omi gbígbóná kìí mú ijó wá,Omi tó hó kìí kọ́ ilé,Omi tó gbóná kìí gbin oko,"Kòsí bíi nkan bà ṣe lè tó, ó ń bò wá dérò.",Omi tó hó kìí kọ ìwé,option_2,0,20.208333333333332
158,"Parí òwe Yorùbá yìí ""Ọhun tí ń wuni ni n pò lóro ènìyàn",option_5,,nínú ìwé kíkà rẹ̀,nígbà tí ó di àgbà,látìgbà èwe rẹ̀,nínú àlá rẹ̀,"Ológun ẹrú kú, aṣọ è jẹ́ ìkan",option_4,0,20.208333333333332
159,"Kíni ìyàtọ̀ láàrin ""ìlábùrù àti abilà""?",option_2,,"Ìlábùrù - Mountain; 
Àbìlà - River.","Ìlábùrú - Baboon
Àbìlà  - Zebra ","Ìlábùrù - Cloud
Àbìlà - Star","Ìlábùrù - Drum
Àbìlà - Flute","Ìlábùrù - Cloth
Àbìlà - Thread",option_4,0,20.208333333333332
160,"Tí 'fast' ba jẹ́ yàrà
 Kíni ọ̀rọ̀ Yorùbá fún 'slow'?",option_3,,Ìrìn,Ìjókòó,Yíyọ́ (yọ́),Ìgbàlẹ́,Ìkọ̀wé,"i'm sorry, but the question you want me to answer isn't fully visible. could you please provide more details or specify the context or question so i can help determine the best answer from the options given?",0,20.208333333333332
161,"Lo àwọn ọ̀rọ̀ márùn ún yi nínu gbólóhùn kan
 “dárayá, faraya, kíyèésárà, fáramó, fáramó”",option_4,,Ìwà rere ló dára jù,Òtítọ́ máa ń borí èké,Àlàáfíà ilé mi ni mo n fẹ́,"Mo lọ sí eré ìdaŕayá kan, níbití ẹni tó gbàwá lálejò ti faraya, nítorí kò kíyèsara tí ohun tó ṣelè sì ṣeé faramọ́",Ìmọ̀ ni ìmólẹ̀,option_2,0,20.208333333333332
162,"Parí òwe Yorùbá yìí
 ""apàtẹ̀wọ́ fún wèrè jó.........""",option_3,,bí ẹní n ṣe ìwà ìbàjẹ́,bí ẹní n ṣe àṣejù,òhun àti wèrè ìkan ni wọ́n,.bí ẹní n ṣe àwàdà,bí ẹní n ṣe ìgbéraga,"i'm sorry, but there appears to be a misunderstanding. the question seems incomplete or unclear without context or a specific prompt to relate the options to. could you please provide more information or clarify the question?",0,20.208333333333332
163,"Parí òwe Yorùbá yìí
 ""A kìn pa òdu òyà loju òtá ènìyàn ....""",option_1,,ọmọ elébọ́rọ́ lásán lapa,kí á tó rí àlàáfíà,kí á tó rí ìdàgbàsókè,kí á tó lè jẹ́ àṣeyọrí,kí á tó lè ní ayọ̀,option_3,0,20.208333333333332
164,"Parí òrọ Yorùbá yìí
 ""Nítorí afójú ní òjò ṣe n kú, nítorí adití ní òjò ṣe n ṣe kíni?",option_4,,jó,rẹ́rìn-ín,sùn,Ṣú,rò,option_2,0,20.208333333333332
165,Kíni Yorùbá n pè ní 'òbèlè'?,Ọkọ̀ ojú omi (Canoe),,Àṣọ,Ọkọ̀ ojú omi,Àtẹlẹwọ́,Ọ̀nà,Òkuta,option_3,0,20.208333333333332
166,Kíni òrò Yorùbá fún ẹranko yìí 'potto'?,option_2,,Ẹlẹ́dẹ̀ igbó,Ikì,Àgùnfọn,Ẹkùn,Ẹtu,option_4,0,20.208333333333332
167,"""Irú ọmọ wo ni Yorùbá n sọ ní 'Ojúólápé'?""",option_4,,Ọmọ ará oko,Ọmọ alárìnkiri,Ọmọ onísẹ́ ọwọ́,Àbígbẹ̀yìn ọmọ,Ọmọ oníṣòwò,option_3,0,20.208333333333332
168,"Ìdúró ò sí, ìbèrè ò sí f’ẹni tó gbódó mì.
 Irú ènìyàn wo ni a lè pè ní a gbódó mì?",option_3,,Ẹni tó ń ṣe àwàdà,Ẹni tó ń wá ọrọ̀,Ẹni tó wà nínú wàhálà,Ẹni tó ń fi ìfẹ́ hàn,Ẹni tó ń ṣe iṣẹ́ àgbẹ̀,option_2,0,20.208333333333332
169,"Tí Yorùbá bá sọpé kò sí àbùjá lóòrùn ọpẹ, kíni àbùjá?",option_2,,Aaye ti o ṣofo,Ọ̀nà èbùrú,Igi ti o gbẹ,Iṣẹ́ ti o ṣòro,Ìdààmú ti o pọ̀,option_3,0,20.208333333333332
170,What's the Yorùbá word for 'Eagle'?,option_5,,Àdàbà,Àkùkọ,Ẹyẹ-àparò,agbe,Idì,option_3,0,20.208333333333332
171,"Parí òwe yìí 
 ""Didùn ló dùn tí a fi bá òré jèkò......",option_4,,kí a sì rántí ìgbà àtijó,kí a sì rí ayò láìpẹ́,kí a sì gbàgbé ìyà,ti ilé oge tógeé jẹ,kí a sì máa fi ìyìn fún Ọlọ́run,option_5,0,20.208333333333332
172,Kíni ọ̀rọ̀ Yorùbá fún 'Bribe'?,option_3,,Ẹ̀bùn,Ìfúnni àìtọ́,"Rìbá, Owó ẹ̀yìn, Ṣọwọ́ kúdúrú, Ẹ̀gúnjẹ",Ìfúnni,Ìbùkún,option: ẹ̀gúnjẹ,0,20.208333333333332
173,Irú òunje wo ni Yorùbá n pè ní 'ọ̀jọ̀jọ̀' kíní òun pàtó tí wọn fi n ṣe?,option_5,,"Oúnjẹ ilẹ̀ Yorùbá, Eran ewure ni a fi n se","Oúnjẹ ilẹ̀ Yorùbá, Agbado tutu ni a fi n se","Oúnjẹ ilẹ̀ Yorùbá, Iresi ni a fi n se","Oúnjẹ ilẹ̀ Yorùbá, Ewa pupa ni a fi n se","Oúnjẹ ilẹ̀ Yorùbá, Isu ewura ni a fi n se",option_4,0,20.208333333333332
174,"Parí òwe Yorùbá yìí
 'Ẹmó kù ojú ọpò dí ....'",option_2,,"bí igi bá wó, àwọn ẹyẹ á fò lọ","bí àfẹ̀rẹ̀bòjò bá kú, ẹnu isà á ṣòfo","bí ẹjà bá gbẹ, àwọn ènìyàn á ṣàárò","bí òjò bá rọ̀, ilẹ̀ á tutù","bí ilẹ̀ bá gbẹ, ewé á rọ",option_4,0,20.208333333333332
175,Kíni àwọn Yorùbá n pè ní “kolokóló”?,option_2,,Ohun tí a máa ń fi sí ẹsẹ̀ ẹṣin bíi irin,Ohun tí a máa ń fi sí ọrùn ajá bíi ṣaworo,Ohun tí a máa ń fi sí orí ọmọdé bíi ìlẹ̀kẹ̀,hun tí a máa ń fi sí ìdí agbọ̀n bíi okùn,,option_2,1,20.208333333333332
176,Yorùbá bò wọ́n ní 'lálá tó ròkè ìlè lón bò' kíní 'lala'?,option_4,,Èwà,Iyọ̀,Ọ̀gẹ̀dẹ̀,Ilá,Àkàrà,option_1,0,20.208333333333332
177,Kíni ọ̀rọ̀ Yorùbá fún 'Guinea-worm'?,option_1,,Sòbìyà,Àrùn-ìgbóná,Òjò-ẹjẹ̀,Ìtàn-ẹran,Irú-ẹran,option_1,1,20.208333333333332
178,Kíni ọ̀rọ̀ Yorùbá fún 'Lungs'?,option_2,,Èékánná,Fùkù,Ìdí,Eérú,Ìyàwó,"to analyze and determine the best answer, i would need more context or the actual question that pertains to these options",0,20.208333333333332
179,Àwọn wo ní Yorùbá ń pè ní 'adídàgìrì'?,option_4,,Wanderer,Storyteller,Gossiper,Alarmist,Critic,"i'm sorry, but you've not provided the context or question that these options relate to. could you please provide more information or clarify the question?",0,20.208333333333332
180,Kíni àkólé orúkọ ọba ìlú Ọndó?,option_5,,Ìyálóde,Bọ́lájí,Ọba,Balógun,Òṣemàwé,option_3,0,20.208333333333332
